service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,3L14N VoX - Storytelling & Audiobooks,lwGnQIn0Z9pl1SoUiXZ3,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/TbRdzuHtwCPzVN3goR8HZIlkQ8z1/voices/lwGnQIn0Z9pl1SoUiXZ3/ciXyYWB5uAMRXOQJCrmC.mp3,,shared
ElevenLabs,Adolfo Banderas - Solid & Convincing,IL7GIOA2FIurcXETHVY7,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/Vy4E79OV3fdjJtLHqpgsfmTcv7D3/voices/IL7GIOA2FIurcXETHVY7/Lw2wMHFqjwhfIgKCFI68.mp3,,shared
ElevenLabs,Alaina - Adult and Friendly,1YlvqbN0SBRucUWa2k0e,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/ofJ3ST4rvZcJUjpc7t5B7gqcCz93/voices/eGaVk0ZMmT7xorje4Y6n/847388c2-8be0-41df-9ac0-98fd610b722c.mp3,,generated
ElevenLabs,Alexa - Young Voice,sXSV9RZ095VZyL64w3ap,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/Yjsr4lzC4gbJjqMqOHDxAeSPiAJ2/voices/sXSV9RZ095VZyL64w3ap/EVnc1SbZs3xcHhPoteFV.mp3,,shared
ElevenLabs,Alexandra - Conversational and Real,kdmDKE6EkgrWrrykO9Qt,en,en,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/5hdLTpEDbjeg4UK1vl9DvlAbJ4I2/voices/kdmDKE6EkgrWrrykO9Qt/yJT6XwhJHSWv3Pb05OIk.mp3,,professional
ElevenLabs,Alice,Xb7hH8MSUJpSbSDYk0k2,en,en,female,middle_aged,british,advertisement,,https://storage.googleapis.com/eleven-public-prod/premade/voices/Xb7hH8MSUJpSbSDYk0k2/d10f7534-11f6-41fe-a012-2de1e482d336.mp3,,premade
ElevenLabs,Alpatros,0njPl7U36VtKOGOhoNv4,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/6e5cu3IgNEdS8VM3ZIJlAwa94PT2/voices/0njPl7U36VtKOGOhoNv4/d7c8c60d-db06-433a-88c3-fb0e393dc299.mp3,,shared
ElevenLabs,Amandoca,r2fkFV8WAqXq2AqBpgJT,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/bhxhV7JK9ENh5SdYnMwMtztTTQD2/voices/r2fkFV8WAqXq2AqBpgJT/e5f91486-26b6-48ee-b0a2-f0c4f7c344dd.mp3,,shared
ElevenLabs,Ami,oEOMTAySmTfDmVF6zZ2i,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/cl49SvpIsGTt4rR8gNDHwQX3wVb2/voices/oEOMTAySmTfDmVF6zZ2i/849eef5d-a9ce-4de7-9d76-3f8a8ce752a1.mp3,,shared
ElevenLabs,An ,IPwKLAuJePuC2RPXCE3F,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/ymppPlWT3RMS51zhSQTyXtXn4Hy2/voices/IPwKLAuJePuC2RPXCE3F/02b9c811-47c3-4698-bef0-9d6668e4d4ab.mp3,,shared
