old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
,pageNextText,missing key,Next,missing key,Next,missing key,Next,missing key,Weiter,missing key,Weiter,missing key,missing key,missing key,Siguiente
,pagePrevText,missing key,Previous,missing key,Previous,missing key,Previous,missing key,Zurück,missing key,missing key,missing key,missing key,missing key,Anterior
,pages_0_elements_0_html,missing key,"Thank you to you and your child for participating in this research project!<br><br> The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child.<br><br> Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. When you are ready to begin, select the “start survey” button.<br><br>Thank you!",missing key,"Thank you to you and your child for participating in this research project!</b><br>The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. <br><br>We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>Thank you",missing key,"Thank you to you and your child for participating in this research project!</b><br>

The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>

When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>
Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. 
<br><br>
We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>
When you are ready to begin, select the “start survey” button. <br><br>Thank you",missing key,"<block><b><font face=\""Verdana\"" size=\""4\"">Wir danken Ihnen und Ihrem Kind für die Teilnahme an diesem Forschungsprojekt! </b><br> <br> <p><font face=\""Verdana\"" size=\""4\"">Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen zu Ihrem Kind.<br><br>Bitte denken Sie bei der Beantwortung der Fragen an Ihr Kind, das an diesem Forschungsprojekt teilnimmt. Wenn Sie mehr als ein Kind haben, das an dem Forschungsprojekt teilnimmt, füllen Sie diesen Fragebogen für jedes teilnehmende Kind separat aus.<br><br>Bei einigen Fragen ist ein bestimmter Zeitrahmen angegeben, auf den Sie sich bei der Beantwortung der Frage beziehen sollen. Wenn kein Zeitrahmen angegeben ist, können Sie die Frage so beantworten, wie es am besten auf Sie oder Ihr Kind im Allgemeinen zutrifft.<br><br>Wir bitten Sie, die Fragen so vollständig und genau wie möglich zu beantworten. Wenn Sie Fragen zu dieser Umfrage haben, wenden Sie sich bitte an die Forschungskoordinatorin (luise_hornoff@eva. mpg. de).<br><br>Wenn Sie bereit sind zu beginnen, klicken Sie auf \""Umfrage starten\"".<br><br><b><font face=\""Verdana\"" size=\""4\"">Vielen Dank",missing key,missing key,missing key,"¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación! Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a). Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general. Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación. Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"". ¡Muchas gracias!",missing key,"¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"".<br><br>¡Muchas gracias!"
pages_8_elements_1_elements_0_columns_0_text,pages_10_elements_0_elements_0_columns_0_text,Not at all,Not at all,missing key,Not at all,missing key,Not at all,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,missing key,missing key,Para nada,missing key,missing key,Para nada
pages_8_elements_1_elements_0_columns_1_text,pages_10_elements_0_elements_0_columns_1_text,Not very well,Not very well,missing key,Not very well,missing key,Not very well,Trifft eher nicht zu,Trifft eher nicht zu,missing key,missing key,Un poco,missing key,missing key,Un poco
pages_8_elements_1_elements_0_columns_2_text,pages_10_elements_0_elements_0_columns_2_text,Somewhat well,Somewhat well,missing key,Somewhat well,missing key,Somewhat well,Trifft eher zu,Trifft eher zu,missing key,missing key,Bastante,missing key,missing key,Bastante
pages_8_elements_1_elements_0_columns_3_text,pages_10_elements_0_elements_0_columns_3_text,Very well,Very well,missing key,Very well,missing key,Very well,Trifft voll und ganz zu,Trifft voll und ganz zu,missing key,missing key,Completamente,missing key,missing key,Completamente
pages_11_elements_0_elements_0_rows_0_text,pages_10_elements_0_elements_0_rows_0_text,Your child is curious to investigate and understand new things.,Your child is curious to investigate and understand new things.,missing key,Your child is curious to investigate and understand new things.,missing key,Your child is curious to investigate and understand new things.,Ihr Kind ist neugierig und will neue Dinge erforschen und verstehen.,Ihr Kind ist neugierig und will neue Dinge erforschen und verstehen.,missing key,missing key,Su niño(a) siente curiosidad por investigar y comprender cosas nuevas.,missing key,missing key,Su niño(a) siente curiosidad por investigar y comprender cosas nuevas.
pages_11_elements_0_elements_0_rows_2_text,pages_10_elements_0_elements_0_rows_1_text,Your child gives unique responses that go beyond those of other children.,Your child gives unique responses that go beyond those of other children.,missing key,Your child gives unique responses that go beyond those of other children.,missing key,Your child gives unique responses that go beyond those of other children.,"Ihr Kind gibt einzigartige Antworten, die über die von anderen Kindern hinausgehen.","Ihr Kind gibt einzigartige Antworten, die über die von anderen Kindern hinausgehen.",missing key,missing key,Su niño(a) da respuestas únicas que superan las de otros niños.,missing key,missing key,Su niño(a) da respuestas únicas que superan las de otros niños.
pages_11_elements_0_elements_0_rows_5_text,pages_10_elements_0_elements_0_rows_2_text,Your child likes to ask many questions.,Your child likes to ask many questions.,missing key,Your child likes to ask many questions.,missing key,Your child likes to ask many questions.,Ihr Kind stellt gerne viele Fragen.,Ihr Kind stellt gerne viele Fragen.,missing key,missing key,A su niño(a) le gusta hacer muchas preguntas.,missing key,missing key,A su niño(a) le gusta hacer muchas preguntas.
