answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
,,,,,,,,,,,,,,,,,,,,,,,
,instructions,hostile-attribution-scene1-instruct2,0,,hostile-attribution-item-bank,,,,hostile-attribution-1b,hostile-attribution-scene1-instruct2,,54,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,instructions,hostile-attribution-scene3-instruct1,2,,hostile-attribution-item-bank,,,,hostile-attribution-3a,hostile-attribution-scene3-instruct1,,61,Imagine that you are working on an assignment at your desk.,no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,,,,,,,,,Are the kids in your class nice to you?,,,14,ClassNice,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Do you like to read comic books?,,,Example,Example1Comic,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
,,,,,,,,,Do you enjoy doing reading activities at school?,,,39,ReadingEnjoy,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
,,,,,,,,,Do you feel lonely at school?,,,14,LonelySchool,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
,,,,,,,,,"When schoolwork is hard, do you give up right away?",,,,SchoolGiveUp,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,child-survey,,child-survey,,,
,,,,,,,,,Do you enjoy school?,,,9,SchoolEnjoy,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Is school fun?,,,7,SchoolFun,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,instructions,ToM-intro,0,,hostile-attribution-item-bank,,,,,ToM-intro,,,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",no,,,Modified ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,,,,,,,,,Is your teacher nice to you?,,,3,TeacherNice,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Some kids think they can get better at reading if they work really hard. Do you agree that you can get better at reading if you work really hard?,,,16,GrowthMindRead,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Are you good at learning things in school?,,,19,LearningGood,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Does your teacher like you?,,,4,TeacherLike,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
hostile-attribution-scene3-on-purpose,test_response,hostile-attribution-scene3-q1,2,0.5,hostile-attribution-item-bank,,,,hostile-attribution-3c,hostile-attribution-scene3-q1,ha_knock_attribution,64,Do you think the boy knocked your papers onto the floor on purpose or by accident?,at_block_level,,"hostile-attribution-scene3-on-purpose,hostile-attribution-scene3-by-accident",ToM-battery,hostile-attribution,,hostile-attribution,,,attribution_question
,,,,,,,,,Are you good at math?,,,41,MathGood,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
,,,,,,,,,Are you neat and tidy at school?,,,Example,Example2Neat,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
hostile-attribution-scene1-q2-ans3,test_response,hostile-attribution-scene1-q2,0,0.33,hostile-attribution-item-bank,,,,hostile-attribution-1b,hostile-attribution-scene1-q2,ha_bump_action,56,Now pick one of the three choices as the one you would do:,at_block_level,,"hostile-attribution-scene1-q2-ans1,hostile-attribution-scene1-q2-ans2,hostile-attribution-scene1-q2-ans3",ToM-battery,hostile-attribution,,hostile-attribution,,,action_question
hostile-attribution-scene2-q2-ans2,test_response,hostile-attribution-scene1-q2,1,0.33,hostile-attribution-item-bank,,,,hostile-attribution-2b,hostile-attribution-scene2-q2,ha_bounce_action,60,Now pick one of the three choices as the one you would do:,at_block_level,,"hostile-attribution-scene2-q2-ans1,hostile-attribution-scene2-q2-ans2,hostile-attribution-scene2-q2-ans3",ToM-battery,hostile-attribution,,hostile-attribution,,,action_question
