answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,,,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
,,,,,,False,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",,
