service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,Ava - youthful and expressive German female voice,AnvlJBAqSLDzEevYr9Ap,de,de,female,young,standard,narrative_story,,https://storage.googleapis.com/eleven-public-prod/custom/voices/AnvlJBAqSLDzEevYr9Ap/WMSO4Wuwrzy81szsGlvY.mp3,,professional
ElevenLabs,BayLee ,uART9md5WKE9VOhh7dbV,de,de,female,middle_aged,standard,informative_educational,,https://storage.googleapis.com/eleven-public-prod/database/user/nyO8TFeOlXOaLDd8vN89cgre1Zy1/voices/uART9md5WKE9VOhh7dbV/v2s2zSMBgAvZ4vySGNrW.mp3,,professional
ElevenLabs,Carola Ferstl Nachrichten,K75lPKuh15SyVhQC1LrE,de,de,female,middle_aged,,informative_educational,,https://storage.googleapis.com/eleven-public-prod/5ei0MqicAANlsSFIQjEs6ffqAsA3/voices/K75lPKuh15SyVhQC1LrE/4148b6cd-757d-4551-992d-2b218a520ef5.mp3,,professional
ElevenLabs,Cornelia ,VGPs8uAVxETgmG3lNnZD,de,de,female,young,standard,narrative_story,,https://storage.googleapis.com/eleven-public-prod/database/user/wNOAlbg4iUX6Y2zfYXQrz9Wngf53/voices/VGPs8uAVxETgmG3lNnZD/bymnjsok1n28NLqH7Q9I.mp3,,professional
ElevenLabs,Dana - German conversation,otF9rqKzRHFgfwf6serQ,de,de,female,middle_aged,standard,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/5JwJPk12vAS9eH3MRvAL2u0jmK43/voices/otF9rqKzRHFgfwf6serQ/j5W8SlvdWvXUay5gIRZE.mp3,,professional
ElevenLabs,Frida - Friendly German Voice,PmkWuBgfgyHPLOeC499E,de,de,female,young,standard,narrative_story,,https://storage.googleapis.com/eleven-public-prod/database/user/Ugu0tUnhweQjZLi9GZUX14rN1JG3/voices/PmkWuBgfgyHPLOeC499E/xpgyCdFNTFDg7Ce8PENZ.mp3,,professional
ElevenLabs,Mia Maier,0pfORUxWwjL6pUNjqKde,de,de,female,middle_aged,standard,narrative_story,,https://storage.googleapis.com/eleven-public-prod/database/user/Ldm1HwKPpINErmM1enJIIEmOSIp1/voices/0pfORUxWwjL6pUNjqKde/e1e0f028-00cb-4140-a0c5-461dcb62a85b.mp3,,professional
ElevenLabs,Susi,v3V1d2rk6528UrLKRuy8,de,de,female,middle_aged,standard,conversational,,https://storage.googleapis.com/eleven-public-prod/1KI0h0RJuscE0Ta9tVvydENJ9JF3/voices/v3V1d2rk6528UrLKRuy8/8aab3a1d-2faf-4de4-b229-f3a2ebb21c43.mp3,,professional
ElevenLabs,Tanja B.,cpy7GcpDa9iah3sbx3uA,de,de,female,middle_aged,standard,informative_educational,,https://storage.googleapis.com/eleven-public-prod/database/user/MzKSksiOZKSG4zyhc9IcgYBSd2x2/voices/cpy7GcpDa9iah3sbx3uA/XDfwxegeEL7vDUf6qL4O.mp3,,professional
ElevenLabs,Alexandra - Conversational and Real,kdmDKE6EkgrWrrykO9Qt,en,en,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/5hdLTpEDbjeg4UK1vl9DvlAbJ4I2/voices/kdmDKE6EkgrWrrykO9Qt/yJT6XwhJHSWv3Pb05OIk.mp3,,professional
ElevenLabs,Alice,Xb7hH8MSUJpSbSDYk0k2,en,en,female,middle_aged,british,advertisement,,https://storage.googleapis.com/eleven-public-prod/premade/voices/Xb7hH8MSUJpSbSDYk0k2/d10f7534-11f6-41fe-a012-2de1e482d336.mp3,,premade
ElevenLabs,Aria,9BWtsMINqrJLrRacOk9x,en,en,female,middle_aged,american,informative_educational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/9BWtsMINqrJLrRacOk9x/405766b8-1f4e-4d3c-aba1-6f25333823ec.mp3,,premade
ElevenLabs,Charlotte,XB0fDUnXU5powFXDhCwa,en,en,female,young,swedish,characters_animation,,https://storage.googleapis.com/eleven-public-prod/premade/voices/XB0fDUnXU5powFXDhCwa/942356dc-f10d-4d89-bda5-4f8505ee038b.mp3,,premade
ElevenLabs,"Claudia - Credible, Competent & Authentic",yu4eXTP5aod8KAQzTI3T,en,en,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/user/Db6dCWW3pFVb0DPq7Q5s86VmuNQ2/voices/yu4eXTP5aod8KAQzTI3T/8zgX5ljCJ8kmBL0Q8rx7.mp3,,professional
ElevenLabs,Jessica,cgSgspJ2msm6clMCkdW9,en,en,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/cgSgspJ2msm6clMCkdW9/56a97bf8-b69b-448f-846c-c3a11683d45a.mp3,,premade
ElevenLabs,Juniper,aMSt68OGf4xUZAnLpTU8,en,en,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/aMSt68OGf4xUZAnLpTU8/J1MZWsaESdkAy9Offbd7.mp3,,professional
ElevenLabs,Laura,FGY2WhTYpPnrIDTdsKH5,en,en,female,young,american,social_media,,https://storage.googleapis.com/eleven-public-prod/premade/voices/FGY2WhTYpPnrIDTdsKH5/67341759-ad08-41a5-be6e-de12fe448618.mp3,,premade
ElevenLabs,Matilda,XrExE9yKIg1WjnnlVkGX,en,en,female,middle_aged,american,informative_educational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/XrExE9yKIg1WjnnlVkGX/b930e18d-6b4d-466e-bab2-0ae97c6d8535.mp3,,premade
ElevenLabs,Sarah,EXAVITQu4vr4xnSDxMaL,en,en,female,young,american,entertainment_tv,,https://storage.googleapis.com/eleven-public-prod/premade/voices/EXAVITQu4vr4xnSDxMaL/01a3e33c-6e99-4ee7-8543-ff2216a32186.mp3,,premade
ElevenLabs,Ana María - Calm & natural neutral Spanish,m7yTemJqdIqrcNleANfX,es,es,female,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/oKFgtDb0y7V9bDSozRTQpdj1w1P2/voices/m7yTemJqdIqrcNleANfX/68555d06-5e4e-431f-b000-0137c78f1a21.mp3,,shared
ElevenLabs,"Caroline - Top France - Narrative, warm, sweet",kwhMCf63M8O3rCfnQ3oQ,fr,fr,female,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/H8RrVTwYTVeCk96KVBZWojrtEzH2/voices/kwhMCf63M8O3rCfnQ3oQ/vxTbGYsSFoNoazw4e3OF.mp3,,shared
ElevenLabs,Chloé - French girl,xNtG3W2oqJs0cJZuTyBc,fr,fr,female,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/7v3Xf4ZklogHHC7Ymvgmw0V9lk82/voices/xNtG3W2oqJs0cJZuTyBc/rHwTP880ZExIm55dlEt8.mp3,,shared
ElevenLabs,Mademoiselle French -  Audiobook Adulte,TojRWZatQyy9dujEdiQ1,fr,fr,female,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/koOonD4HAsSMVyHuP4QTaatQ9cA2/voices/TojRWZatQyy9dujEdiQ1/Ga3VwgAHeVvomTRGuAz4.mp3,,shared
ElevenLabs,Mademoiselle French – For Pub & Ad,rbFGGoDXFHtVghjHuS3E,fr,fr,female,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/koOonD4HAsSMVyHuP4QTaatQ9cA2/voices/rbFGGoDXFHtVghjHuS3E/tUco5QgPkk5Ubwvr8GRC.mp3,,shared
ElevenLabs,Emma  - Natural conversations in Dutch,OlBRrVAItyi00MuGMbna,nl,nl,female,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/7EugAQCJdkOddmr4up4qjrbPpS93/voices/OlBRrVAItyi00MuGMbna/Y003HJPgjOyHozC3szgO.mp3,,shared
ElevenLabs,Alaina - Adult and Friendly,1YlvqbN0SBRucUWa2k0e,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/ofJ3ST4rvZcJUjpc7t5B7gqcCz93/voices/eGaVk0ZMmT7xorje4Y6n/847388c2-8be0-41df-9ac0-98fd610b722c.mp3,,generated
ElevenLabs,Catherine - Smooth and Mature,iCLvWzcMujFoJcUyBsZq,,,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/tbwN9Mrau5dOo6z2xev3tXVU4kO2/voices/o9GuIfD8IKU639dE8P2u/5e9c3666-0f75-4371-acfb-29c7749caea6.mp3,,generated
ElevenLabs,Emma,JEodHWFLSPDqInQabKDQ,,,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/zXLskKNoN6UTa7ewov3SW3fB5ex2/voices/6Axqsz5KmqYsBbybgRmA/d8868071-69c6-4699-a8e0-9ed3c91060bc.mp3,,generated
ElevenLabs,Emma ,pofNv9dY6xDm4jhaTzDc,,,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/9Db7pWvpiZMs7YYnEIDSKtCRoIv1/voices/C3cbjusnqh5cK5PGOjrW/ed990343-fb3b-4b2a-8022-bbbff1ec18dc.mp3,,generated
ElevenLabs,Lily,pFZP5JQG7iQjIQuC4Bku,,,female,middle_aged,british,narration,,https://storage.googleapis.com/eleven-public-prod/premade/voices/pFZP5JQG7iQjIQuC4Bku/89b68b35-b3dd-4348-a84a-a3c13a3c2b30.mp3,warm,premade
ElevenLabs,Liza American,VuRqxQ9Gp7j9W7jKWr0P,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/V0IEpiQNyEhK13YhEXS29zI5XUs1/voices/hsoiUA4QXKxPDOQ2nTWb/1df7333f-ac44-4e74-8bba-983cde4ac978.mp3,,generated
ElevenLabs,Marjorie ,tgmVNoCaK9bGj86aX4SM,,,female,young,american,conversational,,https://storage.googleapis.com/eleven-public-prod/Q9SVmYccBVhpieeetggIQR8IwlL2/voices/uOiHLkhQYAcyqq9dpsdg/57bbf469-950e-477c-be75-32f999f7f71d.mp3,,generated
