item_id,change_type,old_text,new_text
general-intro5,changed,Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que e...,Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que e...
math-instructions1,changed,"En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuel...","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuel..."
number-line-instruct1,changed,Aquí tienes una recta numérica. Sobre ella hay un marcador que tu puedes mover hacia la derecha o iz...,Aquí tienes una recta numérica. Sobre ella hay un marcador que tu puedes mover hacia la derecha o iz...
number-identification-21,changed,"Escoge,, el,, novecientos ochenta y nueve"," Escoge,, el,, novecientos ochenta y nueve"
number-identification-36,changed,"Escoge,, el ciento, treinta y uno"," Escoge,, el ciento, treinta y uno
"
number-identification-41,changed,Escoge el 877.,Escoge el 877. 
trog-item-100,changed,El avión que es gris está arriba de las nubes,El avión que es gris está  arriba de las nubes
trog-item-103,changed,"En vez de hacer las tareas, ella hizo un rompecabezas en su habitación.","En vez de hacer las tareas, ella hizo un rompecabezas en su habitación. "
ToM-intro,changed,Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a resp...,Este es el Juego de las Historias. En este juego vas a escuchar algunas historias y luego vas a resp...
ToM-scene4-q3,changed,¿Mamá está enojada con Isabel?,¿Mamá está enojada con Isabel? 
ToM-scene4-q4-false_belief,changed,¿Johan está enojado con Isabel?,¿Johan está enojado con Isabel? 
ToM-scene5-instruct1,changed,"Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dej...","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dej..."
ToM-scene6-instruct2,changed,"Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sa...","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pr..."
ToM-scene6-q1,changed,¿María sabe que en la tienda venden zapatos?,"	
¿María sabe que en la tienda venden zapatos?"
ToM-scene6-instruct4,changed,"Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. V...","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. V..."
same-different-selection-instruct3,changed,Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver l...,Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver l...
sds-2match-prompt1,changed,Aquí hay un nuevo grupo de cartas. Escoge dos cartas que sean iguales en algún aspecto.,Aquí hay un nuevo grupo de cartas. Escoge dos cartas que sean iguales en algún aspecto. 
sds-2match-prompt2,changed,Escoge dos cartas que sean pareja porque son iguales en algo diferente.,Escoge dos cartas que sean pareja porque son iguales en algo diferente. 
sds-3unique-prompt1,changed,Escoge tres cartas que sean iguales en un solo aspecto.,Escoge tres cartas que sean iguales en un solo aspecto. 
vocab-item-114,changed,la dentista,dentista 
ToM-scene-9-instruct1,changed,Este es Marco. Marco está jugando hoy un juego un poco loco en el que no dice ninguna palabra en tod...,Este es Marco. Marco está jugando hoy un juego un poco loco en el que no dice ninguna palabra en tod...
ToM-scene-10-instruct3,changed,"La profesora Sara le pregunta a Brian: ""¿Queda algún libro de cuentos para que Megan pueda tener uno...","La profesora Sara le pregunta a Brian: ""¿Queda algún libro de cuentos para que Megan pueda tener uno..."
data-questionnaire-button-text3,changed,"Me siento BIEN con estos datos (p. ej., el niño entendió claramente la tarea, tuvo muy pocas (o ning...","Me siento BIEN con estos datos (p. ej., el niño entendió claramente la tarea, tuvo muy pocas (o ning..."
math-instructions1-heavy,changed,"En este juego, jugarás con números.<br><br>Algunas preguntas pueden ser fáciles para ti y algunas pu...","En este juego, jugarás con números.

Algunas preguntas pueden ser fáciles para ti y algunas pueden s..."
mental-rotation-instruct1,new,,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.
number-identification-42,new,,Escoge el 8. 
number-identification-45,new,,Choose the 3.
