item_id,status,color,used_in,labels,en
ToM-intro,used,#34D399,core-task-assets,"theory-of-mind, Stories","This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories."
ToM-scene-10-instruct1,unused,#F97316,,"theory-of-mind, Stories",Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.
ToM-scene-10-instruct2,unused,#F97316,,"theory-of-mind, Stories","Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk."
ToM-scene-10-instruct3,unused,#F97316,,"theory-of-mind, Stories","Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”"
ToM-scene-10-instruct4,unused,#F97316,,"theory-of-mind, Stories","Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”"
ToM-scene-10-q1-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How does Megan feel about being the only child without a storybook?
ToM-scene-10-q2-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How would Megan feel if she received a book?
ToM-scene-10-q3-reality_check,unused,#F97316,,"theory-of-mind, Stories",Is Brian lying?
ToM-scene-10-q4-reality_check,unused,#F97316,,"theory-of-mind, Stories","Is there still a storybook left, that isn’t being used right now?"
ToM-scene-10-q5-false_belief,unused,#F97316,,"theory-of-mind, Stories",Is Teacher Sarah lying?
ToM-scene-10-q6-reality_check,unused,#F97316,,"theory-of-mind, Stories","Is there still a storybook left, that isn’t being used right now?"
ToM-scene-11-instruct1,unused,#F97316,,"theory-of-mind, Stories","This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf."
ToM-scene-11-instruct2,unused,#F97316,,"theory-of-mind, Stories","Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”"
ToM-scene-11-q1-reference,unused,#F97316,,"theory-of-mind, Stories",Which ball will mom get for Josh?
ToM-scene-11-q2-reality_check,unused,#F97316,,"theory-of-mind, Stories",Which ball does Josh want?
ToM-scene-11-q3-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?
ToM-scene-11-q4-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How do you think Josh would feel if he had received the correct toy?
ToM-scene-12-instruct1,unused,#F97316,,"theory-of-mind, Stories","This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her yellow ball at recess."
