item_id,english,de,es-CO,fr-CA,labels,nl
ChildSurveyIntro,"These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.","Estas preguntas se refieren a cómo te sientes en la escuela, y a algunas de las cosas que haces en la escuela. No hay respuestas correctas ni incorrectas. Elige la respuesta que mejor diga lo que tú piensas. No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. Las dos primeras preguntas son de práctica.","Ces questions vous demandent comment vous vous sentez à l'école et certaines choses que vous faites à l'école. Il n'y a pas de bonnes ou de mauvaises réponses. Choisissez la réponse qui décrit le mieux ce que vous pensez. Non, jamais ; Oui, quelquefois ; Oui, la plupart du temps ; Oui, tout le temps. Les deux premiers sont pour la pratique.",survey,
ChildSurveyRespoonses,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer","No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre","Non, jamais ; Oui, quelquefois ; Oui, la plupart du temps ; Oui, tout le temps",survey,
ClassFriends,Do you have friends in your class?,Hast du Freunde in deiner Klasse?,¿Tienes amigos o amigas en tu clase?,Avez-vous des amis dans votre classe ?,survey,
ClassHelp,Do the kids in your class help you when you need it?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",¿Te ayudan los niños y las niñas de tu clase cuando lo necesitas?,Les enfants de votre classe vous aident-ils quand vous en avez besoin ?,survey,
ClassNice,Are the kids in your class nice to you?,Sind die Kinder in deiner Klasse nett zu dir?,¿Los niños y las niñas de tu clase son amables contigo?,Les enfants de votre classe sont-ils gentils avec vous ?,survey,
ClassPlay,Do the kids in your class play with you?,Spielen die Kinder in deiner Klasse mit dir?,¿Los niños y las niñas de tu clase juegan contigo?,Les enfants de votre classe jouent-ils avec vous ?,survey,
Example1Comic,Do you like to read comic books?,Liest du gerne Comics?,¿Te gusta leer historietas (comics)?,Aimez-vous lire des bandes dessinées ?,survey,
Example2Neat,Are you neat and tidy at school?,Bist du in der Schule ordentlich?,¿Eres limpio y ordenado en el colegio?,Êtes-vous soigneux et ordonné à l'école ?,survey,
GrowthMindMath,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?,Certains enfants pensent qu'ils peuvent s'améliorer en maths s'ils travaillent très dur. Pensez-vous que vous pouvez vous améliorer en maths si vous travaillez très dur ?,survey,
GrowthMindRead,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?,Certains enfants pensent qu'ils peuvent s'améliorer en lecture s'ils travaillent très dur. Pensez-vous que vous pouvez vous améliorer en lecture si vous travaillez très dur ?,survey,
GrowthMindSmart,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,Certains enfants pensent qu'ils peuvent devenir plus intelligents s'ils travaillent très dur. Pensez-vous que vous pouvez devenir plus intelligent si vous travaillez très dur ?,survey,
LearningGood,Are you good at learning things in school?,"Bist du gut darin, in der Schule etwas zu lernen?",¿Te queda fácil aprender en el colegio?,Êtes-vous bon pour apprendre des choses à l'école ?,survey,
LonelySchool,Do you feel lonely at school?,Fühlst du dich in der Schule einsam?,¿Te sientes solo o sola en el colegio?,Vous sentez-vous seul à l'école ?,survey,
