Identifier,Labels,Translation
matrix-reasoning-instruct1,matrix-reasoning,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!"
matrix-reasoning-instruct2,matrix-reasoning,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?
mental-rotation-instruct1,mental-rotation,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the shadow. This shape does go with the shadow.
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the shadow?
feedback-try-again,general,Versuch es noch einmal!
feedback-good-job,general,Gut gemacht!
feedback-nice-work,general,Sehr gut!
general-intro1,general,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!
pick-buddy,general,Wähle einen Freund zum Mitspielen!
replay-button,general,Press the replay button if you want the question repeated.
general-fullscreen,general,Wechseln Sie in den Vollbildmodus
general-exit,general,Exit
task-completion,general,You've finished this game. Thank you!
matrix-reasoning-prompt1,matrix-reasoning,"Wähle das beste Muster, um die Lücke zu füllen."
mental-rotation-prompt2,mental-rotation,"Wähle das Bild aus, das zu diesem Bild passt."
mental-rotation-prompt1,mental-rotation,Wähle das passende Bild aus.
math-instructions1,math,We are going to play some counting games and some number games. Let's get started!
number-comparison-prompt1,"math, number-comparison",Welche Zahl ist größer?
number-comparison-prompt2,"math, number-comparison",Welche ist größer?
number-identification-prompt1,"math, number-identification","Wähle die Zahl, die du hörst."
missing-number-prompt1,"math, missing-number",Welche Zahl gehört in die Lücke?
missing-number-prompt2,"math, missing-number",Welche Zahl gehört hierher?
addition-prompt1,"math, addition",Addiere die Zahlen und wähle die richtige Antwort.
addition-prompt2,"math, addition",Addiere die Zahlen. 
subtraction-prompt1,"math, subtraction",Ziehe die Zahlen ab und wähle die richtige Antwort.
subtraction-prompt2,"math, subtraction",Ziehe die Zahlen ab. 
multiplication-prompt1,"math, multiplication",Multipliziere die Zahlen und wähle die richtige Antwort.
multiplication-prompt2,"math, multiplication",Multipliziere die Zahlen. 
number-line-prompt1,"math, number-line-4AFC","Wähle die Zahl, die auf der Zahlenreihe markiert ist."
number-line-slider-prompt1,number-line-slider,Move the slider to the indicated number.
number-identification-1,"math, number-identification",Wähle die Zahl 1.
number-identification-2,"math, number-identification",Wähle die 2.
number-identification-3,"math, number-identification",Wähle die 9.
number-identification-4,"math, number-identification",Wähle die 0.
number-identification-5,"math, number-identification",Wähle die 12.
number-identification-6,"math, number-identification",Wähle die 30.
number-identification-7,"math, number-identification",Wähle die 22.
number-identification-8,"math, number-identification",Wähle die 45.
number-identification-9,"math, number-identification",Wähle die 39.
number-identification-10,"math, number-identification",Wähle die 23.
number-identification-11,"math, number-identification",Wähle die 48.
number-identification-12,"math, number-identification",Wähle die 91.
number-identification-13,"math, number-identification",Wähle die 33.
number-identification-14,"math, number-identification",Wähle die 74.
number-identification-15,"math, number-identification",Wähle die 87.
number-identification-16,"math, number-identification",Wähle die 65.
number-identification-17,"math, number-identification",Wähle die 108.
number-identification-18,"math, number-identification",Wähle die 245.
number-identification-19,"math, number-identification",Wähle die 587.
number-identification-20,"math, number-identification",Wähle die 731.
number-identification-21,"math, number-identification",Wähle die 989.
trog-instruct1,trog,"Jetzt werden wir ein Zuordnungsspiel spielen! Ich sage ein paar Worte, und du berührst das Bild, das zu dem passt, was ich sage. Bist du bereit?"
trog-prompt1,trog,Berühre das Bild mit dem/der/den...
trog-prompt2,trog,Berühre das Bild mit...
trog-prompt3,trog,Berühre das Bild was folgendes zeigt:
same-different-selection-prompt1,same-different-selection,Here is another picture. Which of these is the same as this one?
same-different-selection-prompt2,same-different-selection,Choose two pictures that are the same.
same-different-selection-prompt3,same-different-selection,Choose two pictures that are the same in a different way.
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now."
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture."
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear."
trog-item-1,trog,Wähle das Bild mit dem Schuh.
trog-item-2,trog,Wähle das Bild mit dem Vogel.
trog-item-3,trog,Wähle das Bild mit dem Kamm.
trog-item-4,trog,Wähle das Bild mit dem Apfel.
trog-item-5,trog,"Wähle das Bild aus, das zeigt, wie jemand isst."
trog-item-6,trog,"Wähle das Bild aus, das zeigt, wie jemand pflückt."
trog-item-7,trog,"Wähle das Bild aus, das zeigt, wie jemand sitzt."
trog-item-8,trog,"Wähle das Bild aus, das zeigt, wie jemand läuft."
trog-item-9,trog,"Wähle das Bild aus, das etwas langes zeigt."
trog-item-10,trog,"Wähle das Bild aus, das etwas großes zeigt."
trog-item-11,trog,"Wähle das Bild aus, das etwas rotes zeigt."
trog-item-12,trog,"Wähle das Bild aus, das etwas schwarzes zeigt."
trog-item-13,trog,der Junge rennt.
trog-item-14,trog,die große Tasse.
trog-item-15,trog,der Hund sitzt.
trog-item-16,trog,der rote Ball.
trog-item-17,trog,der Junge rennt nicht.
trog-item-18,trog,der Hund trinkt nicht.
trog-item-19,trog,das Mädchen hüpft nicht.
trog-item-20,trog,der Hund sitzt nicht.
trog-item-21,trog,der Junge springt über den Kasten. 
trog-item-22,trog,das Mädchen sitzt auf dem Tisch.
trog-item-23,trog,der Mann ißt einen Apfel.
trog-item-24,trog,die Frau trägt eine Tasche.
trog-item-25,trog,sie sitzen auf dem Tisch.
trog-item-26,trog,die Kuh sieht sie an.
trog-item-27,trog,sie springen über die Mauer.
trog-item-28,trog,der Elefant trägt sie
trog-item-29,trog,das Mädchen schiebt das Pferd
trog-item-30,trog,der Junge jagt das Schaf
trog-item-31,trog,der Mann jagt den Hund
trog-item-32,trog,die Kuh schiebt die Dame
trog-item-33,trog,sie sitzt auf dem Stuhl.
trog-item-34,trog,die Dame trägt ihn
trog-item-35,trog,er sitzt auf dem Baum
trog-item-36,trog,das Pferd sieht sie an
trog-item-37,trog,die Katzen schauen auf den Ball
trog-item-38,trog,der Junge steht auf den Stühlen
trog-item-39,trog,die Jungen pflücken die Äpfel
trog-item-40,trog,das Mädchen lässt die Tassen fallen
trog-item-41,trog,die Gabel ist länger als der Bleistift
trog-item-42,trog,die Schchtel ist größer als die Tasse
trog-item-43,trog,der Schuh ist größer als der Vogel
trog-item-44,trog,das Pferd ist größer als die Mauer
trog-item-45,trog,das Mädchen wird vom Pferd gejagt
trog-item-46,trog,der Elefant wird von dem Jungen geschoben
trog-item-47,trog,das Pferd wird von dem Mann gejagt
trog-item-48,trog,die Kuh wird von dem Mann geschoben
trog-item-49,trog,die Tasse ist in der Schachtel
trog-item-50,trog,der Bleistift ist auf der Schachtel
trog-item-51,trog,der Kreis ist im Stern
trog-item-52,trog,die Gabel ist auf dem Schuh
trog-item-53,trog,"der Junge, der das Pferd jagt, ist groß"
trog-item-54,trog,der Bleistift auf dem Schuh ist blau
trog-item-55,trog,"die Kuh, die die Katze jagt, ist braun"
trog-item-56,trog,der Kreis im Stern ist gelb
trog-item-57,trog,"die Schachtel, aber nicht der Stuhl ist rot"
trog-item-58,trog,"die Katze ist groß, aber nicht schwarz"
trog-item-59,trog,"das Pferd, aber nicht der Junge, steht"
trog-item-60,trog,"der Junge sitzt, aber er isst nicht"
trog-item-61,trog,der Bleistift ist über der Blume
trog-item-62,trog,der Kamm ist unter dem Löffel
trog-item-63,trog,der Stern ist über dem Kreis
trog-item-64,trog,das Quadrat ist unter dem Stern
trog-item-65,trog,"nicht nur der Vogel, sondern auch die Blume ist blau"
trog-item-66,trog,"die Box ist nicht nur groß, sondern auch blau"
trog-item-67,trog,"nicht nur das Mädchen, sondern auch die Katze sitzt"
trog-item-68,trog,"das Mädchen hat nicht nur Essen, sondern auch ein Getränk"
trog-item-69,trog,"der Bleistift ist auf dem Buch, das gelb ist"
trog-item-70,trog,"das Mädchen jagt den Hund, der groß ist"
trog-item-71,trog,"das Quadrat ist in dem Stern, der blau ist"
trog-item-72,trog,"der Hund jagt das Pferd, das braun ist"
trog-item-73,trog,weder der Hund noch der Ball sind braun
trog-item-74,trog,der Bleistift ist weder lang noch rot
trog-item-75,trog,weder der Junge noch das Pferd rennt
trog-item-76,trog,der Junge hat weder Hut noch Schuhe
trog-item-77,trog,"das Buch, auf dem der Bleistift liegt, ist rot"
trog-item-78,trog,"die Katze, die die Kuh jagt, ist schwarz"
trog-item-79,trog,"der Kreis, in dem sich der Stern befindet, ist rot"
trog-item-80,trog,"der Junge, den der Hund jagt, ist groß"
trog-item-81,trog,das Pferd trank Wasser bei der Scheune und die Schafe fraßen Gras am Zaun
trog-item-82,trog,der Schüler öffnete das Heft und zeichnete einen Baum
trog-item-83,trog,"Wenn es sonnig ist, werden wir im Park ein Picknick machen."
trog-item-84,trog,er fand seine Schlüssel unter der Couch mit den Kissen
trog-item-85,trog,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt"
trog-item-86,trog,Sie stolperte über einen Stein und ließ ihre Bücher fallen.
trog-item-87,trog,"Der Lehrer gibt den Schülern Kuchen, wenn sie in einer Reihe stehen."
trog-item-88,trog,"Wir tanzen zusammen, wenn Musik läuft."
trog-item-89,trog,"Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze."
trog-item-90,trog,"He likes swimming, however, he chose to play soccer with his friends."
trog-item-91,trog,Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.
trog-item-92,trog,Er trug die Clownsmütze trotz ihrer großen Größe.
trog-item-93,trog,"Die Ente, die der Schildkröte folgt, geht über die Brücke."
trog-item-94,trog,Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.
trog-item-95,trog,The person chases the dog that is big.
trog-item-96,trog,The girl wearing a backpack was given a pen by her friend.
trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train."
trog-item-98,trog,The monkey neither ate the spotted banana nor swung on the vine.
trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily."
trog-item-100,trog,The plane that is gray is above the clouds.
trog-item-101,trog,The fish swim beneath a whale and a sea turtle.
trog-item-102,trog,The car that the truck followed is driving toward the tunnel.
trog-item-103,trog,Instead of doing homework she did a puzzle in her room.
ToM-scene1-instruct1,theory-of-mind,"Das ist Petra. Heute Morgen hat Petra ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. "
ToM-scene1-instruct2,theory-of-mind,"Aber als Petra draußen gespielt hat, hat es jemand gefunden! Und hat es unter dem Teppich versteckt. "
ToM-scene1-instruct3,theory-of-mind,Jetzt ist also Lesezeit und Petra möchte ihr Buch.
ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book? Behind the chair or under the rug?
ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really? Is it behind the chair or under the rug?
ToM-scene1-q3-emotion_reasoning,theory-of-mind,"Look, Madison found her book! How do you think she feels about finding her book?"
ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book above the coat hooks. Ethan’s book is blue! "
ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks to behind the coats, see? "
ToM-scene2-instruct3,theory-of-mind,"Then Paul comes in and Paul puts his book up here, above the coat hooks. Paul’s book is also blue! Ethan is still outside playing, so he didn't see what Paul was doing."
ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?"
ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!"
shelf,theory-of-mind,up on the shelf
coats,theory-of-mind,behind the coats
ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Paul feels about Ethan reaching for that book? 
ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Paul's book?
ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Paul's book?
ToM-scene2-q5-reality_check,theory-of-mind,Can you help Paul find his book? Is it on the shelf or behind the coats?
ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or behind the coats?
ToM-scene3-instruct1,theory-of-mind,"Johann, Isabelle und Jens spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. "
ToM-scene3-instruct2,theory-of-mind,Jens geht also als Erster. Er malt diesen Hinweis in den Sandkasten und versteckt sich dann. 
ToM-scene3-instruct3,theory-of-mind,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Isabelle und Jens werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden."
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain."
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw? A fountain or a tree?
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?"
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is? Behind the fountain or behind the tree?
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?"
