Identifier,Labels,Translation
matrix-reasoning-instruct1,matrix-reasoning,Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!
matrix-reasoning-instruct2,matrix-reasoning,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?
mental-rotation-instruct1,mental-rotation,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the shadow. This shape does go with the shadow.
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the shadow?
feedback-try-again,general,¡Inténtalo de nuevo!
feedback-good-job,general,¡Bien hecho!
feedback-nice-work,general,¡Muy bien!
general-intro1,general,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!
pick-buddy,general,¡Escoge un amigo para jugar!
replay-button,general,Press the replay button if you want the question repeated.
general-fullscreen,general,Cambiar al modo de pantalla completa
general-exit,general,Salir
task-completion,general,Has terminado este juego. ¡Gracias!
matrix-reasoning-prompt1,matrix-reasoning,Escoge el mejor patrón para llenar el espacio en blanco.
mental-rotation-prompt2,mental-rotation,Escoge la imagen que coincida con esta.
mental-rotation-prompt1,mental-rotation,Escoge la imagen que coincide.
math-instructions1,math,We are going to play some counting games and some number games. Let's get started!
number-comparison-prompt1,"math, number-comparison",¿Cuál número es mayor?
number-comparison-prompt2,"math, number-comparison",¿Cuál es mayor?
number-identification-prompt1,"math, number-identification",Escoge el número cuando lo escuches.
missing-number-prompt1,"math, missing-number",¿Cuál número va en el espacio en blanco?
missing-number-prompt2,"math, missing-number",¿Cuál número va aquí?
addition-prompt1,"math, addition",Suma los números y elige la respuesta correcta.
addition-prompt2,"math, addition",Suma los números.
subtraction-prompt1,"math, subtraction",Resta los números y elige la respuesta correcta.
subtraction-prompt2,"math, subtraction",Resta los números.
multiplication-prompt1,"math, multiplication",Multiplica los números y elige la respuesta correcta.
multiplication-prompt2,"math, multiplication",Multiplica los números.
number-line-prompt1,"math, number-line-4AFC",Elige el número que está marcado en la línea recta de números.
number-line-slider-prompt1,number-line-slider,Move the slider to the indicated number.
number-identification-1,"math, number-identification",Elige el número 1.
number-identification-2,"math, number-identification",Elige el 2.
number-identification-3,"math, number-identification",Elige el 9.
number-identification-4,"math, number-identification",Elige el 0.
number-identification-5,"math, number-identification",Elige el 12.
number-identification-6,"math, number-identification",Elige el 30.
number-identification-7,"math, number-identification",Elige el 22.
number-identification-8,"math, number-identification",Elige el 45.
number-identification-9,"math, number-identification",Elige el 39.
number-identification-10,"math, number-identification",Elige el 23.
number-identification-11,"math, number-identification",Elige el 48.
number-identification-12,"math, number-identification",Elige el 91.
number-identification-13,"math, number-identification",Elige el 33.
number-identification-14,"math, number-identification",Elige el 74.
number-identification-15,"math, number-identification",Elige el 87.
number-identification-16,"math, number-identification",Elige el 65.
number-identification-17,"math, number-identification",Elige el 108.
number-identification-18,"math, number-identification",Elige el 245.
number-identification-19,"math, number-identification",Elige el 587.
number-identification-20,"math, number-identification",Elige el 731.
number-identification-21,"math, number-identification",Elige el 989. 
trog-instruct1,trog,"Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú tocarás la imagen que va con las palabras que yo diga. ¡Empecemos!"
trog-prompt1,trog,Elige la imagen del...
trog-prompt2,trog,Elige la imagen de...
trog-prompt3,trog,Elige la imagen que muestra...
same-different-selection-prompt1,same-different-selection,Here is another picture. Which of these is the same as this one?
same-different-selection-prompt2,same-different-selection,Choose two pictures that are the same.
same-different-selection-prompt3,same-different-selection,Choose two pictures that are the same in a different way.
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now."
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture."
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear."
trog-item-1,trog,Elige la imagen del zapato.
trog-item-2,trog,Elige la imagen del pájaro.
trog-item-3,trog,Elige la imagen del peine.
trog-item-4,trog,Elige la imagen de la manzana.
trog-item-5,trog,Elige la imagen que muestra comiendo.
trog-item-6,trog,Elige la imagen que muestra recogiendo.
trog-item-7,trog,Elige la imagen que muestra sentado.
trog-item-8,trog,Elige la imagen que muestra corriendo.
trog-item-9,trog,Elige la imagen que muestra largo.
trog-item-10,trog,Elige la imagen que muestra alto.
trog-item-11,trog,Elige la imagen que muestra el rojo.
trog-item-12,trog,Elige la imagen que muestra el negro.
trog-item-13,trog,el niño está corriendo
trog-item-14,trog,la taza grande
trog-item-15,trog,el perro está sentado
trog-item-16,trog,la pelota roja
trog-item-17,trog,el niño no está corriendo
trog-item-18,trog,el perro no está bebiendo
trog-item-19,trog,la niña no está saltando
trog-item-20,trog,el perro no está sentado
trog-item-21,trog,el niño salta por encima de la caja
trog-item-22,trog,la niña está sentada encima de la mesa
trog-item-23,trog,el hombre se está comiendo una manzana
trog-item-24,trog,la señora está llevando la bolsa
trog-item-25,trog,están sentadas encima de la mesa
trog-item-26,trog,la vaca está mirándolas
trog-item-27,trog,están saltando por encima de la pared
trog-item-28,trog,el elefante está llevandolos
trog-item-29,trog,la niña está empujando al caballo
trog-item-30,trog,el niño persigue a la oveja
trog-item-31,trog,el hombre persigue al perro
trog-item-32,trog,la vaca está empujando a la señora
trog-item-33,trog,ella está sentada en la silla
trog-item-34,trog,la señora lo está cargando
trog-item-35,trog,él está sentado en el árbol
trog-item-36,trog,el caballo la está mirando
trog-item-37,trog,los gatos miran la pelota
trog-item-38,trog,el niño se para encima de las sillas
trog-item-39,trog,los niños recogen las manzanas
trog-item-40,trog,la niña deja caer las tazas
trog-item-41,trog,el tenedor es más largo que el lápiz
trog-item-42,trog,la caja es más grande que la taza
trog-item-43,trog,el zapato es más grande que el pájaro
trog-item-44,trog,el caballo es más alto que la pared
trog-item-45,trog,la niña es perseguida por el caballo
trog-item-46,trog,el elefante es empujado por el niño
trog-item-47,trog,el caballo es perseguido por el hombre
trog-item-48,trog,la vaca es empujada por el hombre
trog-item-49,trog,la taza está en la caja
trog-item-50,trog,el lápiz está encima de la caja
trog-item-51,trog,el círculo está en la estrella
trog-item-52,trog,el tenedor está encima del zapato
trog-item-53,trog,el niño que persigue al caballo es alto
trog-item-54,trog,el lápiz encima del zapato es azul
trog-item-55,trog,la vaca que persigue al gato es marrón
trog-item-56,trog,el círculo en la estrella es amarillo
trog-item-57,trog,"la caja es roja, pero no la silla"
trog-item-58,trog,el gato es grande pero no negro
trog-item-59,trog,"el caballo está parado, pero no el niño"
trog-item-60,trog,"el niño está sentado, pero no está comiendo"
trog-item-61,trog,el lápiz está arriba de la flor
trog-item-62,trog,el peine está debajo de la cuchara
trog-item-63,trog,la estrella está encima del círculo
trog-item-64,trog,el cuadrado está debajo de la estrella
trog-item-65,trog,"no sólo el pájaro, también la flor es azul."
trog-item-66,trog,"la caja no sólo es grande, sino también azul"
trog-item-67,trog,"no sólo la niña, también el gato está sentado."
trog-item-68,trog,"la niña no solo tiene comida, sino también bebida"
trog-item-69,trog,el lápiz está encima del libro que es amarillo
trog-item-70,trog,la niña persigue al perro que es grande
trog-item-71,trog,el cuadrado está en la estrella que es azul
trog-item-72,trog,el perro persigue al caballo que es marrón
trog-item-73,trog,ni el perro ni la pelota son marrones
trog-item-74,trog,el lápiz no es largo ni rojo
trog-item-75,trog,ni el niño ni el caballo están corriendo
trog-item-76,trog,el niño no tiene ni sombrero ni zapatos
trog-item-77,trog,"el libro, sobre el que está el lápiz, es rojo"
trog-item-78,trog,el gato que la vaca persigue es negro
trog-item-79,trog,"el círculo, en el que está la estrella, es rojo"
trog-item-80,trog,el niño que el perro persigue es grande
trog-item-81,trog,"el caballo bebe agua junto al granero, y la oveja come pasto junto a la cerca"
trog-item-82,trog,el estudiante abre el cuaderno y dibuja un árbol
trog-item-83,trog,"Si hace sol, haremos un picnic en el parque"
trog-item-84,trog,encontró sus llaves debajo del sofá con cojines
trog-item-85,trog,ella es la jardinera que usa un sombrero que tiene una flor
trog-item-86,trog,Ella tropezó con una piedra y dejo caer sus libros.
trog-item-87,trog,"La maestra dará pastel a los estudiantes, si se ponen en fila."
trog-item-88,trog,"Si hay música sonando, bailaremos todos juntos."
trog-item-89,trog,"Aunque hace calor afuera, estoy usando una chaqueta con capucha."
trog-item-90,trog,"He likes swimming, however, he chose to play soccer with his friends."
trog-item-91,trog,"A pesar del ruido en el salón, ella se concentró en leer su cuaderno."
trog-item-92,trog,Él usó el sombrero de payaso a pesar de su gran tamaño.
trog-item-93,trog,El pato que seguía a la tortuga está caminando por el puente.
trog-item-94,trog,"Al tropezar la mesa con mi pie, tumbé un libro."
trog-item-95,trog,La persona persigue al perro que es grande.
trog-item-96,trog,The girl wearing a backpack was given a pen by her friend.
trog-item-97,trog,"Los niños limpiaron la habitación, pero se olvidaron de guardar el tren."
trog-item-98,trog,The monkey neither ate the spotted banana nor swung on the vine.
trog-item-99,trog,"Su madre dijo que haría sol. Sin embargo, llovió a cántaros."
trog-item-100,trog,El avión que es gris está por encima de las nubes.
trog-item-101,trog,Los peces nadan bajo una ballena y una tortuga marina.
trog-item-102,trog,El coche que siguió el camión va hacia el túnel.
trog-item-103,trog,"En vez de hacer los deberes, hizo un puzzle en su habitación."
ToM-scene1-instruct1,theory-of-mind,"Ella es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara."
ToM-scene1-instruct2,theory-of-mind,"Pero, cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra."
ToM-scene1-instruct3,theory-of-mind,"Ahora, es el momento de leer y Marisol quiere su libro."
ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book? Behind the chair or under the rug?
ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really? Is it behind the chair or under the rug?
ToM-scene1-q3-emotion_reasoning,theory-of-mind,"Look, Madison found her book! How do you think she feels about finding her book?"
ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book above the coat hooks. Ethan’s book is blue! "
ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks to behind the coats, see? "
ToM-scene2-instruct3,theory-of-mind,"Then Paul comes in and Paul puts his book up here, above the coat hooks. Paul’s book is also blue! Ethan is still outside playing, so he didn't see what Paul was doing."
ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?"
ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!"
shelf,theory-of-mind,up on the shelf
coats,theory-of-mind,behind the coats
ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Paul feels about Ethan reaching for that book? 
ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Paul's book?
ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Paul's book?
ToM-scene2-q5-reality_check,theory-of-mind,Can you help Paul find his book? Is it on the shelf or behind the coats?
ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or behind the coats?
ToM-scene3-instruct1,theory-of-mind,"Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo."
ToM-scene3-instruct2,theory-of-mind,"Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde."
ToM-scene3-instruct3,theory-of-mind,Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarle.
ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain."
ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw? A fountain or a tree?
ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?"
ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is? Behind the fountain or behind the tree?
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?"
ToM-scene4-instruct1,theory-of-mind,Ya se acabaron los juegos y es la hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.
ToM-scene4-instruct2,theory-of-mind,"Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo."
ToM-scene4-q1-emotion_reasoning,theory-of-mind,¿Cómo se siente Joshua al perder su camioneta?
ToM-scene4-instruct3,theory-of-mind,"And that’s because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. "
ToM-scene4-instruct4,theory-of-mind,"Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Su Mamá se enoja con él porque perdió el camión."
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck? Yes or no?
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? Yes or no?
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? Yes or no?
ToM-scene4-instruct5,theory-of-mind,"Cuando Isabel se da cuenta de que la mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan."
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now? Yes or no?
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now? Yes or no?
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now? Yes or no?
ToM-scene4-instruct6,theory-of-mind,"Isabel le ofrece disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y la mamá se une a ellos."
ToM-scene5-instruct1,theory-of-mind,"This is Marie. And earlier today, Marie’s mom was cleaning the house, while Marie watched. Mom left three cups in the kitchen."
ToM-scene5-instruct2,theory-of-mind,"There is this small cup on the counter, this medium sized cup on this table, and this big cup down here, on this shelf. So Marie and Dad just walked in and Marie asks her dad to get her a cup. And Marie tells her Dad, “I want the big cup!”"
ToM-scene5-q1,theory-of-mind,Which cup will Dad give Marie?
ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Marie want?
