Identifier,Labels,Translation
matrix-reasoning-instruct1,matrix-reasoning,"Nous allons te montrer un puzzle, et ton travail est de choisir la meilleure pièce pour compléter le puzzle. Commençons !"
matrix-reasoning-instruct2,matrix-reasoning,Vous voyez ce grand puzzle ? Il manque une pièce ! Quelle pièce va dans le puzzle ?
mental-rotation-instruct1,mental-rotation,Voyez-vous ces deux ombres ? On va avec cette forme. Voyons lequel va avec la forme.
mental-rotation-training-instruct2,mental-rotation,Voyons si cette forme va avec l'ombre. Cette forme ne va pas avec l'ombre.
mental-rotation-training-instruct3,mental-rotation,Voyons si cette forme va avec l'ombre. Cette forme va avec l'ombre.
mental-rotation-test-instruct4,mental-rotation,Maintenant tu essaies ! Peux-tu trouver la forme qui va avec l'ombre ?
feedback-try-again,general,Veuillez essayer à nouveau!
feedback-good-job,general,Bravo !
feedback-nice-work,general,Beau travail !
general-intro1,general,"Bonjour! Aujourd'hui, nous allons résoudre quelques énigmes. Êtes-vous prêt? Appuyez sur le bouton OK!"
pick-buddy,general,Choisissez un ami avec qui jouer !
replay-button,general,Appuyez sur le bouton de relecture si vous voulez que la question soit répétée.
general-fullscreen,general,Basculer en mode plein écran
general-exit,general,Quitter
task-completion,general,Vous avez terminé ce jeu. Merci !
matrix-reasoning-prompt1,matrix-reasoning,Choisissez le meilleur modèle à remplir dans le vide.
mental-rotation-prompt2,mental-rotation,Choisissez l'image qui correspond à celle-ci.
mental-rotation-prompt1,mental-rotation,Choisissez l'image correspondante.
math-instructions1,math,Nous allons jouer à des jeux comptant et à de nombreuses parties. Commençons !
number-comparison-prompt1,"math, number-comparison",Quel nombre est plus grand ?
number-comparison-prompt2,"math, number-comparison",Lequel est le plus grand ?
number-identification-prompt1,"math, number-identification",Choisissez le numéro que vous entendez.
missing-number-prompt1,"math, missing-number",Quel nombre va dans le vide?
missing-number-prompt2,"math, missing-number",Quel nombre va ici?
addition-prompt1,"math, addition",Ajoutez les chiffres et choisissez la bonne réponse.
addition-prompt2,"math, addition",Ajouter les numéros.
subtraction-prompt1,"math, subtraction",Soustraire les chiffres et choisir la bonne réponse.
subtraction-prompt2,"math, subtraction",Soustraire les nombres.
multiplication-prompt1,"math, multiplication",Multipliez les nombres et choisissez la bonne réponse.
multiplication-prompt2,"math, multiplication",Multiplie les nombres.
number-line-prompt1,"math, number-line-4AFC",Choisissez le numéro indiqué sur la ligne numérotée.
number-line-slider-prompt1,number-line-slider,Déplacez le curseur vers le nombre indiqué.
number-identification-1,"math, number-identification",Choisissez le numéro 1.
number-identification-2,"math, number-identification",Choisissez le 2.
number-identification-3,"math, number-identification",Choisissez le 9.
number-identification-4,"math, number-identification",Choisissez le 0.
number-identification-5,"math, number-identification",Choisissez les 12.
number-identification-6,"math, number-identification",Choisissez les 30.
number-identification-7,"math, number-identification",Choisissez le 22.
number-identification-8,"math, number-identification",Choisissez le 45.
number-identification-9,"math, number-identification",Choisissez le 39.
number-identification-10,"math, number-identification",Choisissez le 23.
number-identification-11,"math, number-identification",Choisissez le 48.
number-identification-12,"math, number-identification",Choisissez le 91.
number-identification-13,"math, number-identification",Choisissez le 33.
number-identification-14,"math, number-identification",Choisissez le 74.
number-identification-15,"math, number-identification",Choisissez le 87.
number-identification-16,"math, number-identification",Choisissez le 65.
number-identification-17,"math, number-identification",Choisissez le 108.
number-identification-18,"math, number-identification",Choisissez le 245.
number-identification-19,"math, number-identification",Choisissez le 587.
number-identification-20,"math, number-identification",Choisissez le 731.
number-identification-21,"math, number-identification",Choisissez le 989.
trog-instruct1,trog,"Maintenant nous allons jouer à un jeu qui corresponde ! Je vais dire quelques mots, et vous choisissez l'image qui va avec ce que je dis. Commençons !"
trog-prompt1,trog,Choisissez la photo de la...
trog-prompt2,trog,Choisir l'image de...
trog-prompt3,trog,Choisissez l'image qui apparaît...
same-different-selection-prompt1,same-different-selection,Voici une autre image. Laquelle de ces images est la même que celle-ci?
same-different-selection-prompt2,same-different-selection,Choisissez deux images qui sont les mêmes.
same-different-selection-prompt3,same-different-selection,Choisissez deux images qui sont les mêmes d'une manière différente.
shared-intro-devices,trog,"Vous pouvez appuyer sur un écran tactile, utiliser le pavé tactile ou appuyer sur les flèches pour cette activité. Essayez-le maintenant."
shared-choose-picture-press-arrow,trog,"Pour utiliser une flèche pour choisir une image, appuyez sur la touche qui pointe dans la même direction que la flèche située en dessous de l'image."
shared-intro-replay,trog,Vous pouvez appuyer sur le bouton de relecture pour entendre les choses à nouveau. Essayez maintenant.
trog-instr1-matching,trog,"Il s'agit d'une activité similaire, écoutez ce que je dis, puis regardez attentivement les photos. Choisissez la photo qui accompagne les mots que vous entendez."
trog-item-1,trog,Choisissez la photo de la chaussure.
trog-item-2,trog,Choisissez la photo de l'oiseau.
trog-item-3,trog,Choisissez la photo de la peau.
trog-item-4,trog,Choisissez la photo de la pomme.
trog-item-5,trog,Choisissez la photo qui montre la nourriture.
trog-item-6,trog,Choisissez la photo qui montre la cueillette.
trog-item-7,trog,Choisissez la photo qui montre la séance.
trog-item-8,trog,Choisissez l'image qui montre en cours d'exécution.
trog-item-9,trog,Choisissez la photo qui montre longuement.
trog-item-10,trog,Choisissez la photo qui montre haut.
trog-item-11,trog,Choisissez l'image qui s'affiche en rouge.
trog-item-12,trog,Choisissez la photo qui montre le noir.
trog-item-13,trog,le garçon coule
trog-item-14,trog,la grande tasse
trog-item-15,trog,le chien est assis
trog-item-16,trog,la boule rouge
