identifier,labels,en,es-CO,de,fr-CA,nl,context
general-intro1,general,Hi! We are excited to have you play some games with us today!,¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!",Hi! We are excited to have you play some games with us today!,Hoi! We zijn blij dat je vandaag een paar spelletjes met ons wilt spelen!,"general-intro1
Final es-co & de translation review complete"
general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","En primer lugar, tienes que elegir a un amigo para que juegue contigo. A medida que completes los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo.","Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.","First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","Eerst mag je een buddy kiezen om mee te spelen. Naarmate je de verschillende spellen voltooit, mag je een accessoire kiezen, zoals een hoed of een bril, om je buddy te versieren.","general-intro2
Final es-co & de translation review complete"
pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,"Du kannst dir jetzt aussuchen, wer mit dir spielen soll!",Pick a buddy to play with!,Kies een maatje om mee te spelen!,"pick-buddy
Final es-co & de translation review complete. 
When implemented, confirm this phrasing makes sense with the visuals, selection method, etc."
general-intro3,general,"Now that you have your buddy, we want to explain how the games work.","Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos.","Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.","Now that you have your buddy, we want to explain how the games work.","Nu je je buddy hebt, willen we uitleggen hoe de spellen werken.","general-intro3
Final es-co & de translation review complete"
general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Durante los juegos tendrás que escuchar las instrucciones, así que asegúrate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presiona el botón del altavoz situado en la esquina superior de la pantalla.","Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.","During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Tijdens de games moet je naar de instructies luisteren, dus zorg ervoor dat je speakers aanstaan en dat het volume naar wens is. Als je de instructies nog een keer wilt horen, kun je op de speakerknop in de hoek van je scherm klikken.","general-intro4
Final es-co & de translation review complete"
general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés utilizando. Puedes utilizar un ratón o un panel táctil para hacer clic en tu elección, puedes utilizar las teclas de flecha del teclado o puedes tocar la pantalla si utilizas una tableta. Puedes elegir la forma que más te convenga.

Si tienes alguna duda o necesitas ayuda para empezar, pide ayuda al adulto que esté cerca.","Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.

Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen. ","You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","U kunt uw antwoorden op verschillende manieren kiezen, afhankelijk van het type tablet of computer dat u gebruikt. U kunt een muis of touchpad gebruiken om uw keuze te klikken, u kunt de pijltjestoetsen op uw toetsenbord gebruiken of u kunt uw scherm aanraken als u een tablet gebruikt. U kunt de manier kiezen die het beste voor u werkt.

Als u vragen hebt of hulp nodig hebt om te beginnen, vraag dan de volwassene die in de buurt is om u te helpen. ","general-intro5
Final es-co & de translation review complete"
task-finished,general,You've completed the game. Thank you!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,You've completed the game. Thank you!,Je hebt het spel voltooid. Bedankt!,"task-finished
Final es-co & de translation review complete"
continue-button-text,general,OK,OK,OK,OK,OK,"continue-button-text
Final es-co & de translation review complete"
close-button-text,general,Close,Cerrar,Schließen,Close,Dichtbij,"close-button-text
Final es-co & de translation review complete"
general-footer,general,Click the button below or press <b>ANY KEY</b> to continue,Haz clic en el botón abajo o presiona <b>CUALQUIER TECLA</b> para continuar,"Klicke auf die Fläche unten oder drücke eine Beliebige Taste, um fortzufahren",Click the button below or press <b>ANY KEY</b> to continue,Klik op de onderstaande knop of druk op <b>ELKE TOETS</b> om door te gaan,"general-footer
Final es-co translation review complete.
For DE confirm wording - send screen shot to DE "
instructions,general,instructions,instrucciones,Anweisungen,instructions,instructies,"instructions
Final es-co & de translation review complete"
general-encourage,general,Keep Going!,¡Continúa!,Weiter so!,Keep Going!,Blijf doorgaan!,"general-encourage
Final es-co & de translation review complete"
feedbackCorrect,general,Great! That's right.,¡Genial! Eso es correcto.,Großartig! Das ist richtig.,Great! That's right.,Geweldig! Dat klopt.,"feedbackCorrect
Final es-co & de translation review complete"
feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,Please try again!,Probeer het opnieuw!,"feedback-try-again
Final es-co & de translation review complete"
feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,Good job!,Goed gedaan!,"feedback-good-job
Final es-co & de translation review complete"
feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,Nice work!,Goed gedaan!,"feedback-nice-work
Final es-co & de translation review complete"
replay-button,general,Press the speaker button if you want the question repeated.,Presiona el botón del altavoz si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.",Press the speaker button if you want the question repeated.,Druk op de luidsprekerknop als u de vraag wilt herhalen.,"replay-button
Final es-co translation review complete.
For DE confirm ""repeat button"" translation is specific enough"
general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Bitte wechsle in den Vollbildmodus.,Switch to full screen mode,Overschakelen naar volledig scherm,"general-fullscreen
Final es-co & de translation review complete"
general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,"Sieht so aus, als wäre das etwas knifflig! Sehen wir uns die Anweisungen noch einmal an.",Looks like this is a little tricky! Let’s review the instructions.,Het lijkt erop dat dit een beetje lastig is! Laten we de instructies nog eens bekijken.,"general-repeat-instructions
"
general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.","Wenn Sie Ihre Tastatur zum Beantworten einer Frage verwenden möchten, drücken Sie die Pfeiltaste neben Ihrer Auswahl.","If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Als u uw toetsenbord wilt gebruiken om een vraag te beantwoorden, drukt u op de pijltjestoets naast uw keuze.","general-keyboard-instructions
"
intro-finished,general,You've finished the instructions. Thank you!,Has terminado las instrucciones. ¡Gracias!,Sie haben die Anleitung beendet. Ich danke Ihnen!,You've finished the instructions. Thank you!,Je hebt de instructies voltooid. Bedankt!,"intro-finished
"
general-exit,general,Exit,Salir,Spiel verlassen.,Exit,Uitgang,"general-exit
Final es-co & de translation review complete"
task-completion,general,You've finished this game. Thank you!,Has terminado este juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,You've finished this game. Thank you!,Je hebt dit spel uitgespeeld. Bedankt!,"task-completion
Final es-co & de translation review complete"
