identifier,labels,en,es-CO,de,fr-CA,nl,context
general-rotate-device,general,Please rotate your device for the best view of the activities.,Por favor utiliza la tableta en modo horizontal para que las actividades se puedan visualizar correctamente.,"Bitte drehen Sie Ihr Gerät, damit Sie die Aktivitäten optimal sehen können.",Please rotate your device for the best view of the activities.,Please rotate your device for the best view of the activities.,
general-device-type,general,"Please use a tablet in landscape mode, or a desktop computer or a laptop to complete the activities.","Por favor utiliza una tableta en modo horizontal, un ordenador de sobremesa o un portátil para que las actividades se puedan visualizar correctamente.","Bitte verwenden Sie ein Tablet im Querformat, einen Desktop-Computer oder einen Laptop, um die Aufgaben zu lösen.","Please use a tablet in landscape mode, a desktop computer, or a laptop to complete the activities.","Please use a tablet in landscape mode, a desktop computer, or a laptop to complete the activities.",
general-intro1,general,Hi! We are excited to have you play some games with us today!,¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!",Salut ! Nous sommes ravis que tu joues à des jeux avec nous aujourd'hui !,Hoi! We zijn blij dat je vandaag een paar spelletjes met ons wilt spelen!,
general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","En primer lugar, tienes que elegir a un amigo para que juegue contigo. A medida que completes los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo.","Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.","Tout d'abord, vous devez choisir un partenaire pour jouer avec vous. Au fil des jeux, vous pourrez choisir un accessoire, comme un chapeau ou des lunettes, pour décorer votre partenaire.","Eerst mag je een buddy kiezen om mee te spelen. Naarmate je de verschillende spellen voltooit, mag je een accessoire kiezen, zoals een hoed of een bril, om je buddy te versieren.",
pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,"Du kannst dir jetzt aussuchen, wer mit dir spielen soll!",Choisissez un ami avec qui jouer !,Pick a buddy to play with!,
general-intro3,general,"Now that you have your buddy, we want to explain how the games work.","Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos.","Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.","Maintenant que tu as ton copain, nous voulons t'expliquer comment fonctionnent les jeux.","Nu je je buddy hebt, willen we uitleggen hoe de spellen werken.",
general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Durante los juegos tendrás que escuchar las instrucciones, así que asegúrate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presiona el botón del altavoz situado en la esquina superior de la pantalla.","Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.","Pendant les jeux, tu devras écouter les instructions, alors assure-toi que les haut-parleurs sont activés et que le volume te convient. Si tu souhaites réécouter les instructions, tu peux cliquer sur le bouton haut-parleur dans le coin de ton écran.","Tijdens de games moet je naar de instructies luisteren, dus zorg ervoor dat je speakers aanstaan en dat het volume naar wens is. Als je de instructies nog een keer wilt horen, kun je op de speakerknop in de hoek van je scherm klikken.",
general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés utilizando. Puedes utilizar un ratón o un panel táctil para hacer clic en tu elección, puedes utilizar las teclas de flecha del teclado o puedes tocar la pantalla si utilizas una tableta. Puedes elegir la forma que más te convenga.

Si tienes alguna duda o necesitas ayuda para empezar, pide ayuda al adulto que esté cerca.","Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.

Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen. ","Tu peux choisir tes réponses de différentes manières selon le type de tablette ou d'ordinateur que tu utilises. Tu peux utiliser une souris ou un pavé tactile pour cliquer sur ton choix, utiliser les touches fléchées de ton clavier ou toucher l'écran si tu utilises une tablette. Tu peux choisir la méthode qui te convient le mieux.

Si tu as des questions ou si tu as besoin d'aide pour commencer, demande à l'adulte à proximité de t'aider. ","U kunt uw antwoorden op verschillende manieren kiezen, afhankelijk van het type tablet of computer dat u gebruikt. U kunt een muis of touchpad gebruiken om uw keuze te klikken, u kunt de pijltjestoetsen op uw toetsenbord gebruiken of u kunt uw scherm aanraken als u een tablet gebruikt. U kunt de manier kiezen die het beste voor u werkt.

Als u vragen hebt of hulp nodig hebt om te beginnen, vraag dan de volwassene die in de buurt is om u te helpen. ",
task-finished,general,You've completed the game. Thank you!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,Tu as terminé le jeu. Merci !,Je hebt het spel voltooid. Bedankt!,
continue-button-text,general,OK,OK,OK,D'accord,OK,
