,item_id,labels,en,es-CO,de,fr
0,matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","Nous allons te montrer un puzzle, et ton travail est de choisir la meilleure pièce pour compléter le puzzle. Commençons !"
1,matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,Vous voyez ce grand puzzle ? Il manque une pièce ! Quelle pièce va dans le puzzle ?
2,mental-rotation-instruct1,mental-rotation,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.,Do you see these two shadows? One goes with this shape. Let’s see which one goes with the shape.,Voyez-vous ces deux ombres ? On va avec cette forme. Voyons lequel va avec la forme.
3,mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.,Let's see if this shape goes with the shadow. This shape doesn’t go with the shadow.,Voyons si cette forme va avec l'ombre. Cette forme ne va pas avec l'ombre.
4,mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the shadow. This shape does go with the shadow.,Let's see if this shape goes with the shadow. This shape does go with the shadow.,Let's see if this shape goes with the shadow. This shape does go with the shadow.,Voyons si cette forme va avec l'ombre. Cette forme va avec l'ombre.
5,mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the shadow?,Now you try! Can you find the shape that goes with the shadow?,Now you try! Can you find the shape that goes with the shadow?,Maintenant tu essaies ! Peux-tu trouver la forme qui va avec l'ombre ?
6,feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,Veuillez essayer à nouveau!
7,feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,Bravo !
8,feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,Beau travail !
9,general-intro1,general,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!,Hello! Today we're going to solve some puzzles. Are you ready? Press the OK button!,"Bonjour! Aujourd'hui, nous allons résoudre quelques énigmes. Êtes-vous prêt? Appuyez sur le bouton OK!"
