item_id,labels,en,de,nl,context,es-CO,fr-CA,de-CH,es-AR
general-rotate-device,general,Please rotate your device for the best view of the activities.,"Bitte drehen Sie Ihr Gerät, damit Sie die Aktivitäten optimal sehen können.",,,,,"Bitte drehen Sie Ihr Gerät, damit Sie die Aktivitäten optimal sehen können.",Por favor usá la tableta en modo horizontal para que las actividades se puedan visualizar correctamente.
general-device-type,general,"Please use a tablet in landscape mode, or a desktop computer or a laptop to complete the activities.","Bitte verwenden Sie ein Tablet im Querformat, einen Desktop-Computer oder einen Laptop, um die Aufgaben zu lösen.",,,,,"Bitte verwenden Sie ein Tablet im Querformat, einen Desktop-Computer oder einen Laptop, um die Aufgaben zu lösen.","Por favor usá una tableta en modo horizontal, una computadora de escritorio o una laptop para que las actividades se puedan visualizar correctamente."
general-intro1,general,Hi! We are excited to have you play some games with us today!,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!",,,,,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!",¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!
general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.",,,,,"Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.","Primero, tenés que elegir a un amigo para que juegue con vos. A medida que completás los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo."
pick-buddy,general,Pick a buddy to play with!,"Du kannst dir jetzt aussuchen, wer mit dir spielen soll!",,,,,"Du kannst dir jetzt aussuchen, wer mit dir spielen soll!",¡Elegí un amigo para jugar!
general-intro3,general,"Now that you have your buddy, we want to explain how the games work.","Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.",,,,,"Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.","Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos."
general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.",,,,,"Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.","Durante los juegos tendrás que escuchar las instrucciones, así que asegurate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presioná el botón del altavoz situado en la esquina superior de la pantalla."
general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.<br><br>If you have any questions or need help getting started, please ask the adult who is nearby to help you.","Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.<br><br>Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen.",,,,,"Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.<br><br>Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen.","Podés elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés usando. Podés utilizar un ratón o un panel táctil para hacer clic en tu elección, podés utilizar las teclas de flecha del teclado o podés tocar la pantalla si usás una tableta. Podés elegir la forma que más te convenga.<br><br>Si tenés alguna duda o necesitas ayuda para empezar, pedile ayuda al adulto que esté cerca."
task-finished,general,You've completed the game. Thank you!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,,,,,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,Completaste el juego. ¡Gracias!
continue-button-text,general,OK,OK,,,,,OK,OK
