item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
ClassFriends,child-survey,Do you have friends in your class?,¿Tenés amigos o amigas en tu clase?,¿Tienes amigos o amigas en tu salón?,Hast du Freunde in deiner Klasse?,NO APPROVED TRANSLATION,Do you have friends in your class?,Ĉu vi havas amikojn en via klaso?,NO APPROVED TRANSLATION,Heb je vrienden in je klas?,
ClassHelp,child-survey,Do the kids in your class help you when you need it?,¿Te ayudan los niños y las niñas de tu clase cuando lo necesitás?,¿Te ayudan los niños y las niñas de tu salón cuando lo necesitas?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",NO APPROVED TRANSLATION,Do the kids in your class help you when you need it?,Ĉu la infanoj en via klaso helpas vin kiam vi bezonas?,NO APPROVED TRANSLATION,Helpen de kinderen in jouw klas jou als dat nodig is?,
ClassNice,child-survey,Are the kids in your class nice to you?,¿Los niños y las niñas de tu clase son amables con vos?,¿Los niños y las niñas de tu salón son amables contigo?,Sind die Kinder in deiner Klasse nett zu dir?,NO APPROVED TRANSLATION,Are the kids in your class nice to you?,Ĉu la infanoj en via klaso estas afablaj al vi?,NO APPROVED TRANSLATION,Zijn de kinderen in jouw klas aardig tegen je?,
ClassPlay,child-survey,Do the kids in your class play with you?,¿Los niños y las niñas de tu clase juegan con vos?,¿Los niños y las niñas de tu salón juegan contigo?,Spielen die Kinder in deiner Klasse mit dir?,NO APPROVED TRANSLATION,Do the kids in your class play with you?,Ĉu la infanoj en via klaso ludas kun vi?,NO APPROVED TRANSLATION,Spelen de kinderen in jouw klas met jou?,
Example1Comic,child-survey,Do you like to read comic books?,¿Te gusta leer historietas (comics)?,¿Te gusta leer historietas (comics)?,Liest du gerne Comics?,NO APPROVED TRANSLATION,Do you like to read comic books?,Ĉu vi ŝatas legi komiksojn?,NO APPROVED TRANSLATION,Lees je graag stripboeken?,
Example2Neat,child-survey,Are you neat and tidy at school?,¿Sos limpio y ordenado en la escuela?,¿Eres limpio y ordenado en el colegio?,Bist du in der Schule ordentlich?,NO APPROVED TRANSLATION,Are you neat and tidy at school?,Ĉu vi estas ordema kaj pura en la lernejo?,NO APPROVED TRANSLATION,Ben jij netjes en opgeruimd op school?,
GrowthMindMath,child-survey,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Creés que vos podés mejorar en matemáticas si te esforzás mucho?,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",NO APPROVED TRANSLATION,Some kids think they can get better at maths if they work really hard. Do you think that you can get better at maths if you work really hard?,"Iuj infanoj pensas, ke ili povas iĝi pli bonaj en matematiko se ili vere strebas. Ĉu vi pensas, ke vi povas iĝi pli bona en matematiko se vi vere strebas?",NO APPROVED TRANSLATION,Sommige kinderen denken dat ze beter kunnen worden in rekenen als ze heel hard werken. Denk jij dat je beter kunt worden in rekenen als je heel hard werkt?,
GrowthMindRead,child-survey,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Creés que vos podés mejorar en lectura si te esforzás mucho?,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",NO APPROVED TRANSLATION,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,"Iuj infanoj pensas, ke ili povas iĝi pli bonaj en legado se ili vere strebas. Ĉu vi pensas, ke vi povas iĝi pli bona en legado se vi vere strebas?",NO APPROVED TRANSLATION,Sommige kinderen denken dat ze beter kunnen worden in lezen als ze heel hard werken. Denk jij dat je beter kunt worden in lezen als je heel hard werkt?,
GrowthMindSmart,child-survey,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Creés que vos podés ser más inteligente si te esforzás mucho?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",NO APPROVED TRANSLATION,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,"Iuj infanoj pensas, ke ili povas iĝi pli inteligentaj se ili vere strebas. Ĉu vi pensas, ke vi povas iĝi pli inteligenta se vi vere strebas?",NO APPROVED TRANSLATION,Sommige kinderen denken dat ze slimmer kunnen worden als ze heel hard werken. Denk jij dat je slimmer kunt worden als je heel hard werkt?,
LearningGood,child-survey,Are you good at learning things in school?,¿Te es fácil aprender en la escuela?,¿Te queda fácil aprender en el colegio?,"Bist du gut darin, in der Schule etwas zu lernen?",NO APPROVED TRANSLATION,Are you good at learning things in school?,Ĉu vi estas lerta lerni en la lernejo?,NO APPROVED TRANSLATION,Ben je goed in het leren op school?,
LonelySchool,child-survey,Do you feel lonely at school?,¿Te sentís solo o sola en la escuela?,¿Te sientes solo o sola en el colegio?,Fühlst du dich in der Schule einsam?,NO APPROVED TRANSLATION,Do you feel lonely at school?,Ĉu vi sentas vin sola en la lernejo?,NO APPROVED TRANSLATION,Voel jij je eenzaam op school?,
MathEnjoy,child-survey,Do you enjoy doing math activities at school?,¿Te gusta hacer actividades de matemáticas en la escuela?,¿Te gusta hacer actividades de matemáticas en el colegio?,Hast du Spaß am Fach Mathe?,NO APPROVED TRANSLATION,Do you enjoy doing maths activities at school?,Ĉu vi ĝuas fari matematikajn agadon en la lernejo?,NO APPROVED TRANSLATION,Vind je het leuk om rekenactiviteiten op school te doen?,
MathGood,child-survey,Are you good at math?,¿Sos bueno o buena para las matemáticas?,¿Eres bueno o buena para las matemáticas?,Bist du gut in Mathe?,NO APPROVED TRANSLATION,Are you good at maths?,Ĉu vi estas lerta pri matematiko?,NO APPROVED TRANSLATION,Ben jij goed in rekenen?,
ReadingEnjoy,child-survey,Do you enjoy doing reading activities at school?,¿Te gusta hacer actividades de lectura en la escuela?,¿Te gusta hacer actividades de lectura en el colegio?,Macht es dir Spaß in der Schule zu lesen?,NO APPROVED TRANSLATION,Do you enjoy doing reading activities at school?,Ĉu vi ĝuas fari rigardajn agadon en la lernejo?,NO APPROVED TRANSLATION,Vind je het leuk om leesactiviteiten op school te doen?,
ReadingGood,child-survey,Are you good at reading?,¿Sos bueno o buena para la lectura?,¿Eres bueno o buena para la lectura?,Bist du gut im Lesen?,NO APPROVED TRANSLATION,Are you good at reading?,Ĉu vi estas lerta legi?,NO APPROVED TRANSLATION,Ben je goed in lezen?,
SchoolEnjoy,child-survey,Do you enjoy school?,¿Te gusta la escuela?,¿Te gusta el colegio?,"Magst du es, in die Schule zu gehen?",NO APPROVED TRANSLATION,Do you enjoy school?,Ĉu vi ĝuas la lernejon?,NO APPROVED TRANSLATION,Vind je school leuk?,
SchoolFun,child-survey,Is school fun?,¿Te divertís en la escuela?,¿Es divertido ir al colegio?,Macht die Schule Spaß?,NO APPROVED TRANSLATION,Is school fun?,Ĉu lernejo estas amuza?,NO APPROVED TRANSLATION,Is school leuk?,
SchoolGiveUp,child-survey,"When schoolwork is hard, do you give up right away?","Cuando las tareas escolares son difíciles, ¿te rendís enseguida?","Cuando las tareas del colegio son difíciles, ¿te rindes en seguida?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?",NO APPROVED TRANSLATION,"When schoolwork is hard, do you give up straight away?","Kiam la lerna tasko estas malfacila, ĉu vi tuj rezignas?",NO APPROVED TRANSLATION,Geef je meteen op als schoolwerk moeilijk is?,
SchoolHappy,child-survey,Are you happy at school?,¿Te sentís feliz en la escuela?,¿Te sientes feliz en el colegio?,Bist du glücklich in der Schule?,NO APPROVED TRANSLATION,Are you happy at school?,Ĉu vi estas feliĉa en la lernejo?,NO APPROVED TRANSLATION,Ben je blij op school?,
SchoolSafe,child-survey,Do you feel safe at school?,¿Te sentís seguro o segura en la escuela?,¿Te sientes seguro o segura en el colegio?,Fühlst du dich in der Schule sicher?,NO APPROVED TRANSLATION,Do you feel safe at school?,Ĉu vi sentas vin sekura en la lernejo?,NO APPROVED TRANSLATION,Voel jij je veilig op school?,
TeacherLike,child-survey,Does your teacher like you?,¿Le caés bien a tu profesor?,¿Le caes bien a tu profesor?,Mag dich dein Lehrer?,NO APPROVED TRANSLATION,Does your teacher like you?,Ĉu via instruisto ŝatas vin?,NO APPROVED TRANSLATION,Vindt jouw leraar je aardig?,
TeacherListen,child-survey,Does your teacher listen to you?,¿Tu profesor te escucha?,¿Tu profesor te escucha?,Hört dein Lehrer dir zu?,NO APPROVED TRANSLATION,Does your teacher listen to you?,Ĉu via instruisto aŭskultas vin?,NO APPROVED TRANSLATION,Luistert jouw leraar naar jou?,
TeacherNice,child-survey,Is your teacher nice to you?,¿Tu profesor te trata bien?,¿Tu profesor te trata bien?,Ist dein Lehrer nett zu dir?,NO APPROVED TRANSLATION,Is your teacher nice to you?,Ĉu via instruisto estas afabla al vi?,NO APPROVED TRANSLATION,Is je leraar aardig tegen je?,
ToM-downex1-basketball-r-downex,theory-of-mind,The basketball,Una pelota de básquet,,,,,La basketbalo,,De basketbal,
ToM-downex1-control1-q-downex,theory-of-mind,Which ball did you like best?,NO APPROVED TRANSLATION,,,,,Kiun pilkon vi plej ŝatis?,,Welke bal vond je het leukst?,
ToM-downex1-emotion1-q-downex,theory-of-mind,"At school, Rebecca’s teacher gave her the basketball to play with, not the soccer ball. How does Rebecca feel about getting the basketball?",NO APPROVED TRANSLATION,,,,,"En la lernejo, la instruisto de Rebecca donis ŝin la basketbalon por ludi, ne la futbalon. Kiel Rebecca sentas pri ricevi la basketbalon?",,"Op school gaf de juf van Rebecca haar een basketbal om mee te spelen, in plaats van een voetbal. Hoe voelt Rebecca zich nu ze een basketbal heeft gekregen?",
ToM-downex1-emotion2-q-downex,theory-of-mind,"At school, Rebecca’s teacher gave her the soccer ball to play with, not the basketball ball. How does Rebecca feel about getting the soccer ball?",NO APPROVED TRANSLATION,,,,,"En la lernejo, la instruisto de Rebeka donas al ŝi la futbolpilkon por ludi kun ĝi, ne la basketbalon. Kiel Rebeka sentas sin pri ricevado de la futbolpilko?",,"Op school gaf de juf van Rebecca haar een voetbal om mee te spelen, in plaats van een basketbal. Hoe voelt Rebecca zich erover dat ze een voetbal heeft gekregen?",
ToM-downex1-explanation1-q-downex,theory-of-mind,"Oh look, Rebecca chose the basketball. Why does Rebecca choose the basketball?",NO APPROVED TRANSLATION,,,,,"Ho rigardu, Rebeka elektis la basketbalon. Kial Rebeka elektis la basketbalon?",,"Kijk eens, Rebecca heeft voor de basketbal gekozen. Waarom kiest Rebecca voor de basketbal?",
ToM-downex1-explanation2-q-downex,theory-of-mind,"Oh look, Rebecca chose the soccer ball. Why does Rebecca choose the soccer ball?",NO APPROVED TRANSLATION,,,,,"Ho rigardu, Rebeka elektis la futbolpilkon. Kial Rebeka elektis la futbolpilkon?",,"Kijk eens, Rebecca heeft de voetbal gekozen. Waarom kiest Rebecca de voetbal?",
ToM-downex1-instruct1-downex,theory-of-mind,Here is Rebecca. Rebecca is picking a ball to play with today.,NO APPROVED TRANSLATION,,,,,"Jen Rebecca, hodiaŭ ŝi elektas pilkon por ludi kun ĝi.",,Hier is Rebecca. Rebecca kiest vandaag een bal uit om mee te spelen.,
ToM-downex1-instruct2-downex,theory-of-mind,"Here are two different types of balls: a soccer ball, and a basketball.",NO APPROVED TRANSLATION,,,,,Jen du diversaj specoj de pilkoj: futbala pilko kaj basketbala pilko.,,Hier zijn twee verschillende soorten balen: een voetbal en een basketbal.,
ToM-downex1-instruct3-q-downex,theory-of-mind,Which ball do you like more? Do you like the soccer ball or the basketball more?,NO APPROVED TRANSLATION,,,,,Kiun pilkon vi pli ŝatas? Ĉu vi pli ŝatas la futbolpilkon aŭ la basketbalon?,,Welke bal vind je leuker? De voetbal of de basketbal?,
ToM-downex1-instruct4-downex,theory-of-mind,That’s a good choice! Rebecca likes the basketball best. She doesn’t like the soccer ball. What she really likes is the basketball.,NO APPROVED TRANSLATION,,,,,Tio estas bona elekto! Rebeka plej ŝatas basketbalon. Ŝi ne ŝatas la futbolon. Kion ŝi vere ŝatas estas la basketbalo.,,Dat is een goede keus! Rebecca vindt basketbal het leukst. Ze houdt niet van voetbal. Basketbal is echt haar favoriet.,
