identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,context
auth/consent.acceptButton,,Accept,Aceptar,Akzeptieren,Accept,Accept,Akzeptieren,Accept,Accept,"auth/consent.acceptButton
acceptButton"
auth/consent.assentTitle,,Assent,Asentimiento,Zustimmung,Assent,Assent,Zustimmung,Assent,Assent,"auth/consent.assentTitle
assentTitle"
auth/consent.consentTitle,,Consent,Consentimiento,Zustimmung,Consent,Consent,Zustimmung,Consent,Consent,"auth/consent.consentTitle
consentTitle"
auth/consent.consentUpdatedStatus,,Consent status updated,Estado de consentimiento actualizado,Zustimmungsstatus aktualisiert,Consent status updated,Consent status updated,Zustimmungsstatus aktualisiert,Consent status updated,Consent status updated,"auth/consent.consentUpdatedStatus
consentUpdatedStatus"
auth/consent.header,,Consent,Consentimiento,Zustimmung,Consent,Consent,Zustimmung,Consent,Consent,"auth/consent.header
header"
auth/consent.rejectButton,,"No, sign me out","No, cerrar sesión","Nein, mich abmelden","No, sign me out","No, sign me out","Nein, mich abmelden","No, sign me out","No, sign me out","auth/consent.rejectButton
rejectButton"
auth/consent.title,,,,,,,,,,"auth/consent.title
title"
auth/consent.toastHeader,,Confirmed,Confirmado,Bestätigt,Confirmed,Confirmed,Bestätigt,Confirmed,Confirmed,"auth/consent.toastHeader
toastHeader"
auth/signin.atLeastOneLowercase,,At least one lowercase,Al menos una minúscula,Mindestens ein Kleinbuchstabe,At least one lowercase,At least one lowercase,Mindestens ein Kleinbuchstabe,At least one lowercase,At least one lowercase,"auth/signin.atLeastOneLowercase
atLeastOneLowercase"
auth/signin.atLeastOneNumber,,At least one number,Al menos un número,Mindestens eine Zahl,At least one number,At least one number,Mindestens eine Zahl,At least one number,At least one number,"auth/signin.atLeastOneNumber
atLeastOneNumber"
auth/signin.atLeastOneNumeric,,At least one numeric,Al menos un carácter numérico,Mindestens eine Nummer,At least one numeric,At least one numeric,Mindestens eine Nummer,At least one numeric,At least one numeric,"auth/signin.atLeastOneNumeric
atLeastOneNumeric"
auth/signin.atLeastOneUpperCase,,At least one uppercase,Al menos una mayúscula,Mindestens ein Großbuchstabe,At least one uppercase,At least one uppercase,Mindestens ein Großbuchstabe,At least one uppercase,At least one uppercase,"auth/signin.atLeastOneUpperCase
atLeastOneUpperCase"
auth/signin.buttonLabel,,Go!,¡Vamos!,Los!,Go!,Go!,Los!,Go!,Go!,"auth/signin.buttonLabel
buttonLabel"
auth/signin.continueWithGoogle,,Continue with Google,Continuar con Google,Machen Sie weiter mit Google,Continue with Google,Continue with Google,Machen Sie weiter mit Google,Continue with Google,Continue with Google,"auth/signin.continueWithGoogle
continueWithGoogle"
auth/signin.emailId,,email,correo electrónico,E-Mail,email,email,E-Mail,email,email,"auth/signin.emailId
emailId"
auth/signin.emailPlaceholder,,Username or email,Nombre de usuario o correo electrónico,Benutzername oder E-Mail,Username or email,Username or email,Benutzername oder E-Mail,Username or email,Username or email,"auth/signin.emailPlaceholder
emailPlaceholder"
auth/signin.forgotPassword,,Forgot Password?,¿Olvidaste tu contraseña?,Passwort vergessen?,Forgot Password?,Forgot Password?,Passwort vergessen?,Forgot Password?,Forgot Password?,"auth/signin.forgotPassword
forgotPassword"
auth/signin.incorrectEmailOrPassword,,Incorrect username/email or password,Nombre de usuario/correo electrónico o contraseña incorrectos,Falscher Benutzername/E-Mail oder Passwort,Incorrect username/email or password,Incorrect username/email or password,Falscher Benutzername/E-Mail oder Passwort,Incorrect username/email or password,Incorrect username/email or password,"auth/signin.incorrectEmailOrPassword
incorrectEmailOrPassword"
auth/signin.invalidEmailPlaceholder,,Error: invalid email,Error: correo electrónico inválido,Fehler: Ungültige E-Mail,Error: invalid email,Error: invalid email,Fehler: Ungültige E-Mail,Error: invalid email,Error: invalid email,"auth/signin.invalidEmailPlaceholder
invalidEmailPlaceholder"
auth/signin.minimumCharacters,,Minimum 8 characters,Mínimo 8 caracteres,Mindestens 8 Zeichen,Minimum 8 characters,Minimum 8 characters,Mindestens 8 Zeichen,Minimum 8 characters,Minimum 8 characters,"auth/signin.minimumCharacters
minimumCharacters"
auth/signin.pageTitle,,,,,,,,,,"auth/signin.pageTitle
pageTitle"
auth/signin.passwordId,,password,contraseña,Passwort,password,password,Passwort,password,password,"auth/signin.passwordId
passwordId"
auth/signin.passwordPlaceholder,,Password,Contraseña,Passwort,Password,Password,Passwort,Password,Password,"auth/signin.passwordPlaceholder
passwordPlaceholder"
auth/signin.pickPassword,,Pick a password,Elige una contraseña,Wählen Sie ein Passwort,Pick a password,Pick a password,Wählen Sie ein Passwort,Pick a password,Pick a password,"auth/signin.pickPassword
pickPassword"
auth/signin.selectLanguage,,Select Language,Seleccionar idioma,Sprache auswählen,Select Language,Select Language,Sprache auswählen,Select Language,Select Language,"auth/signin.selectLanguage
selectLanguage"
auth/signin.selectLanguageLabel,,Language,Idioma,Sprache,Language,Language,Sprache,Language,Language,"auth/signin.selectLanguageLabel
selectLanguageLabel"
auth/signin.signInWithEmailLinkInstead,,Sign-in using email link,Inicia sesión usando el enlace de correo electrónico,Mit E-Mail-Link anmelden,Sign-in using email link,Sign-in using email link,Mit E-Mail-Link anmelden,Sign-in using email link,Sign-in using email link,"auth/signin.signInWithEmailLinkInstead
signInWithEmailLinkInstead"
auth/signin.signInWithEmailLinkPlaceHolder,,Press Go to sign-in with an email link.,Presiona ¡Vamos! para iniciar sesión con un enlace de correo electrónico.,"Drücken Sie „Los“, um sich mit einem E-Mail-Link anzumelden.",Press Go to sign-in with an email link.,Press Go to sign-in with an email link.,"Drücken Sie „Los“, um sich mit einem E-Mail-Link anzumelden.",Press Go to sign-in with an email link.,Press Go to sign-in with an email link.,"auth/signin.signInWithEmailLinkPlaceHolder
signInWithEmailLinkPlaceHolder"
auth/signin.signInWithPasswordInstead,,Sign-in using password,Inicia sesión usando la contraseña,Mit Passwort anmelden,Sign-in using password,Sign-in using password,Mit Passwort anmelden,Sign-in using password,Sign-in using password,"auth/signin.signInWithPasswordInstead
signInWithPasswordInstead"
auth/signin.suggestions,,Suggestions,Sugerencias,Vorschläge,Suggestions,Suggestions,Vorschläge,Suggestions,Suggestions,"auth/signin.suggestions
suggestions"
pages/home-participant.consentUpdatedStatus,,,,,,,,,,"pages/home-participant.consentUpdatedStatus
consentUpdatedStatus"
pages/home-participant.contactAdministrator,,Please contact your administrator to get added to an assignment.,"Por favor, contacta a tu administrador para que te agreguen a una asignación.","Bitte kontaktieren Sie Ihren Administrator, um zu einer Zuordnung hinzugefügt zu werden.",Please contact your administrator to get added to an assignment.,Please contact your administrator to get added to an assignment.,"Bitte kontaktieren Sie Ihren Administrator, um zu einer Zuordnung hinzugefügt zu werden.",Please contact your administrator to get added to an assignment.,Please contact your administrator to get added to an assignment.,"pages/home-participant.contactAdministrator
contactAdministrator"
pages/home-participant.loadingAssignments,,Loading Assignments,Cargando Asignaciones,Lade Zuordnungen,Loading Assignments,Loading Assignments,Lade Zuordnungen,Loading Assignments,Loading Assignments,"pages/home-participant.loadingAssignments
loadingAssignments"
pages/home-participant.noAssignments,,You have no assignments!,¡No tienes asignaciones!,Sie haben keine Zuordnungen!,You have no assignments!,You have no assignments!,Sie haben keine Zuordnungen!,You have no assignments!,You have no assignments!,"pages/home-participant.noAssignments
noAssignments"
pages/home-participant.selectAssignment,,Select an assignment,Seleccionar una asignación,Wählen Sie eine Zuordnung aus,Select an assignment,Select an assignment,Wählen Sie eine Zuordnung aus,Select an assignment,Select an assignment,"pages/home-participant.selectAssignment
selectAssignment"
pages/home-participant.showOptionalAssignments,,Show optional assignments,Mostrar asignaciones opcionales,Optionale Zuordnungen anzeigen,Show optional assignments,Show optional assignments,Optionale Zuordnungen anzeigen,Show optional assignments,Show optional assignments,"pages/home-participant.showOptionalAssignments
showOptionalAssignments"
pages/home-participant.assignments,,Assignments,Asignaciones,Zuordnungen,Assignments,Assignments,Zuordnungen,Assignments,Assignments,"pages/home-participant.assignments
assignments"
pages/home-participant.current,,Current,Actual,Aktuell,Current,Current,Aktuell,Current,Current,"pages/home-participant.current
current"
pages/home-participant.past,,Past,Pasado,Vergangen,Past,Past,Vergangen,Past,Past,"pages/home-participant.past
past"
pages/home-participant.upcoming,,Upcoming,Próximo,Kommend,Upcoming,Upcoming,Kommend,Upcoming,Upcoming,"pages/home-participant.upcoming
upcoming"
pages/home-participant.noCurrentAssignmentsFound,,No current assignments were found,No se encontraron asignaciones actuales,Keine aktuellen Zuordnungen gefunden,No current assignments were found,No current assignments were found,Keine aktuellen Zuordnungen gefunden,No current assignments were found,No current assignments were found,"pages/home-participant.noCurrentAssignmentsFound
noCurrentAssignmentsFound"
pages/home-participant.noPastAssignmentsFound,,No past assignments were found,No se encontraron asignaciones pasadas,Keine vergangenen Zuordnungen gefunden,No past assignments were found,No past assignments were found,Keine vergangenen Zuordnungen gefunden,No past assignments were found,No past assignments were found,"pages/home-participant.noPastAssignmentsFound
noPastAssignmentsFound"
pages/home-participant.noUpcomingAssignmentsFound,,No upcoming assignments were found,No se encontraron asignaciones futuras,Keine kommenden Zuordnungen gefunden,No upcoming assignments were found,No upcoming assignments were found,Keine kommenden Zuordnungen gefunden,No upcoming assignments were found,No upcoming assignments were found,"pages/home-participant.noUpcomingAssignmentsFound
noUpcomingAssignmentsFound"
pages/home-selector.inactivityLogout,,"You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","Pronto se cerrará la sesión por razones de seguridad. Por favor haga clic en ""Continuar"" si desea continuar su sesión. Si no, la sesión se cerrará automáticamente en {timeLeft} segundos.","Sie werden aus Sicherheitsgründen bald abgemeldet. Bitte klicken Sie auf ""Weiter"", wenn Sie Ihre Sitzung fortsetzen möchten. \n Andernfalls werden Sie in { timeLeft } Sekunden automatisch abgemeldet.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","Sie werden aus Sicherheitsgründen bald abgemeldet. Bitte klicken Sie auf ""Weiter"", wenn Sie Ihre Sitzung fortsetzen möchten. \n Andernfalls werden Sie in { timeLeft } Sekunden automatisch abgemeldet.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","pages/home-selector.inactivityLogout
inactivityLogout"
pages/home-selector.inactivityLogoutAcceptLabel,,Continue,Continuar,Fortsetzen,Continue,Continue,Fortsetzen,Continue,Continue,"pages/home-selector.inactivityLogoutAcceptLabel
inactivityLogoutAcceptLabel"
pages/home-selector.loading,,Loading...,Cargando...,Laden...,Loading...,Loading...,Laden...,Loading...,Loading...,"pages/home-selector.loading
loading"
