identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
components/participant-sidebar.grade,,Grade,Grado,Klasse,,,,,,
components/participant-sidebar.studentInfo,,Participant Info,Información del estudiante,Schülerinformationen,,,,,,
components/participant-sidebar.tasksCompleted,,Tasks completed!,¡Tareas completadas! ,Aufgaben abgeschlossen!,,,,,,
components/participant-sidebar.statusCurrent,,Current,Actual,Aktuell,,,,,,
components/participant-sidebar.statusOpened,,Opened,Abierto,,,,,,,
components/participant-sidebar.statusClose,,Close,Cerrar,Schließen,,,,,,
components/participant-sidebar.statusClosed,,Closed,Cerrado,,,,,,,
components/participant-sidebar.statusOpen,,Open,Abrir,,,,,,,
components/participant-sidebar.statusUpcoming,,Upcoming,Próximo,Kommend,,,,,,
components/participant-sidebar.statusPast,,Past,Pasado,Vergangen,,,,,,
components/participant-sidebar.assignments,,Assignments,Actividades,Zuordnungen,,,,,,
components/participant-sidebar.noCurrentAssignments,,You have no current assignments.,No tienes actividades actuales.,,,,,,,
components/participant-sidebar.noUpcomingAssignments,,You have no upcoming assignments.,No tienes actividades pendientes.,,,,,,,
components/participant-sidebar.noPastAssignments,,You have no past assignments.,No tienes actividades anteriores.,,,,,,,
