identifier,labels,text,en,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH
ChildSurveyIntro,child_survey,"<font face=Verdana size=4>These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. <b><font face=Verdana size=4>No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time.<br><br>The first two are for practice.","<font face=Verdana size=4>These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. <b><font face=Verdana size=4>No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time.<br><br>The first two are for practice.","<font face=Verdana size=4>Estas preguntas se refieren a cómo te sientes en el colegio y a lo que haces en el colegio. No hay respuestas correctas ni incorrectas. Elige la respuesta que mejor diga lo que tú piensas. <br><b><font face=Verdana size=4> No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. <br><br>Las primeras dos preguntas son de práctica.","<font face=Verdana size=4>In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst.<b><font face=Verdana size=4> Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer.<br><br>Die ersten beiden Fragen sind zum Üben.","<font face=Verdana size=4>Ces questions vous demandent comment vous vous sentez à l'école et certaines choses que vous faites à l'école. Il n'y a pas de bonnes ou de mauvaises réponses. Choisissez la réponse qui décrit le mieux ce que vous pensez. <b><font face=Verdana size=4>Non, jamais; Oui, quelquefois; Oui, la plupart du temps; Oui, tout le temps.<br><br>Les deux premiers sont pour la pratique.","<font face=Verdana size=4>Deze vragen gaan over hoe je je voelt op school en over dingen die je op school doet. Er zijn geen goede of foute antwoorden. Kies het antwoord dat het beste beschrijft wat je denkt. <b><font face=Verdana size=4>Nee, nooit; Ja, soms; Ja, meestal; Ja, altijd.<br><br>De eerste twee zijn voor oefening.","<font face=Verdana size=4>In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst.<b><font face=Verdana size=4> Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer.<br><br>Die ersten beiden Fragen sind zum Üben.","<font face=Verdana size=4>Estas preguntas se refieren a cómo te sientes en la escuela y a lo que haces en la escuela. No hay respuestas correctas ni incorrectas. Elige la respuesta que más se acerque a lo que piensas. <br><b><font face=Verdana size=4> No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. <br><br>Ensaya con las dos primeras preguntas cómo responder.","<font face=Verdana size=4>This pesewa ask how you dey feel for school and some things you dey do for school. No correct or wrong answers dey. Choose the answer wey fit what you dey think. <b><font face=Verdana size=4>No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time.<br><br>The first two be practice."
Example1Comic,child_survey,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?,Do you like to read comic books?
Example1Comic,child_survey,"No, never","No, never","No, nunca","Nein, nie","Non, jamais","Nee, nooit","Nein, nie","No, nunca","No, never"
Example1Comic,child_survey,"Yes, some of the time","Yes, some of the time","Sí, algunas veces","Ja, manchmal","Oui, quelquefois","Ja, soms","Ja, manchmal","Sí, algunas veces","Yes, some of the time"
Example1Comic,child_survey,"Yes, most of the time","Yes, most of the time","Sí, muchas veces","Ja, meistens","Oui, la plupart du temps","Ja, meestal","Ja, meistens","Sí, muchas veces","Yes, most of the time"
Example1Comic,child_survey,"Yes, always","Yes, always","Sí, siempre","Ja, immer","Oui, toujours","Ja, altijd","Ja, immer","Sí, siempre","Yes, always"
Example2Neat,child_survey,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?,Are you neat and tidy at school?
Example2Neat,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
Example2Neat,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
Example2Neat,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
Example2Neat,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
TeacherNice,child_survey,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?,Is your teacher nice to you?
TeacherNice,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
TeacherNice,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
TeacherNice,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
TeacherNice,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
TeacherLike,child_survey,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?,Does your teacher like you?
TeacherLike,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
TeacherLike,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
TeacherLike,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
TeacherLike,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
TeacherListen,child_survey,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?,Does your teacher listen to you?
TeacherListen,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
TeacherListen,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
TeacherListen,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
TeacherListen,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
