item_id,source,translation,score
general-rotate-device,Please rotate your device for the best view of the activities.,nan,0.29395976662635803
general-device-type,"Please use a tablet in landscape mode, or a desktop computer or a laptop to complete the activities.",nan,0.3236556947231293
general-intro1,Hi! We are excited to have you play some games with us today!,nan,0.3555929362773895
general-intro2,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.",nan,0.2921784818172455
pick-buddy,Pick a buddy to play with!,nan,0.3787706792354584
general-intro3,"Now that you have your buddy, we want to explain how the games work.",nan,0.2944846749305725
general-intro4,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.",nan,0.3454914689064026
general-intro5,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ",nan,0.3850649297237396
task-finished,You've completed the game. Thank you!,nan,0.28804776072502136
continue-button-text,OK,nan,0.6973096132278442
close-button-text,Close,nan,0.4096464216709137
general-footer,Click the button below or press <b>ANY KEY</b> to continue,nan,0.34581294655799866
instructions,instructions,nan,0.4481048882007599
general-encourage,Keep Going!,nan,0.3621758222579956
feedbackCorrect,Great! That's right.,nan,0.4435935914516449
feedback-not-quite-right,That's not quite right. Please try again.,nan,0.3602486848831177
feedback-try-again,Please try again!,nan,0.5245538353919983
feedback-good-job,Good job!,nan,0.442836731672287
feedback-nice-work,Nice work!,nan,0.5094448328018188
replay-button,Press the speaker button if you want the question repeated.,nan,0.3249772787094116
general-fullscreen,Switch to full screen mode,nan,0.44283097982406616
general-repeat-instructions,Looks like this is a little tricky! Let’s review the instructions.,nan,0.2880935072898865
general-keyboard-instructions,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.",nan,0.31950679421424866
intro-finished,You've finished the instructions. Thank you!,nan,0.29270488023757935
general-exit,Exit,nan,0.36223113536834717
task-completion,You've completed this game. Thank you!,nan,0.2821959853172302
general-your-turn,Nice job with the practice! Let's try some more on your own.,nan,0.2778383791446686
matrix-reasoning-instruct1,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",nan,0.3352689743041992
matrix-reasoning-instruct2,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,nan,0.29644694924354553
matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,nan,0.3117830455303192
mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,nan,0.2536541819572449
mental-rotation-training-instruct2,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,nan,0.2514227330684662
mental-rotation-training-instruct3,Let's see if this shape goes with the outline. This shape does go with the outline.,nan,0.25641122460365295
mental-rotation-test-instruct4,Now you try! Can you find the shape that goes with the outline?,nan,0.2964239716529846
mental-rotation-instruct-3D,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,nan,0.29870378971099854
